,cdxig526,cxphy526,fv1,hyg,itxeb525,itxex525,jnk,lqd,ty1,vix
cdxig526,1.0,-0.91443960429,0.326039277082,-0.721323238729,0.80319774655,0.835817850521,-0.684932513577,0.024779183217,0.321717397312,0.736018322413
cxphy526,-0.91443960429,1.0,-0.313621882992,0.770391209653,-0.780806920905,-0.803950577333,0.742610346333,-0.0468660349644,-0.327527902655,-0.715007423676
fv1,0.326039277082,-0.313621882992,1.0,-0.284636729366,0.464034054063,0.464245498414,-0.2864871652,0.658687118756,0.890912268338,0.256435793507
hyg,-0.721323238729,0.770391209653,-0.284636729366,1.0,-0.589843094797,-0.621237283191,0.923067791202,-0.017098908333,-0.339716782069,-0.673121144217
itxeb525,0.80319774655,-0.780806920905,0.464034054063,-0.589843094797,1.0,0.948905091645,-0.582161042654,0.19531348299,0.473294918984,0.656691770377
itxex525,0.835817850521,-0.803950577333,0.464245498414,-0.621237283191,0.948905091645,1.0,-0.618923057874,0.175191792257,0.46997065227,0.675947640608
jnk,-0.684932513577,0.742610346333,-0.2864871652,0.923067791202,-0.582161042654,-0.618923057874,1.0,-0.022177433123,-0.345371435233,-0.645313357676
lqd,0.024779183217,-0.0468660349644,0.658687118756,-0.017098908333,0.19531348299,0.175191792257,-0.022177433123,1.0,0.725621690048,-0.0183716580348
ty1,0.321717397312,-0.327527902655,0.890912268338,-0.339716782069,0.473294918984,0.46997065227,-0.345371435233,0.725621690048,1.0,0.282457912534
vix,0.736018322413,-0.715007423676,0.256435793507,-0.673121144217,0.656691770377,0.675947640608,-0.645313357676,-0.0183716580348,0.282457912534,1.0
