name,assetclass,subgroup,style,maturity,duration,direction,accuracy,observed,improvement,pmi.above,nmi.above,cpi.above,pmi1m.above,pmi3m.above,pmi6m.above,pmi9m.above,pmi12m.above,nmi1m.above,nmi3m.above,nmi6m.above,nmi9m.above,nmi12m.above,cpiyoy1m.above,cpiyoy3m.above,cpiyoy6m.above,cpiyoy9m.above,cpiyoy12m.above,cpiyoy1m.diff,cpiyoy3m.diff,cpiyoy6m.diff,cpiyoy9m.diff,cpiyoy12m.diff,pmi1m.diff,pmi3m.diff,pmi6m.diff,pmi9m.diff,pmi12m.diff,nmi1m.diff,nmi3m.diff,nmi6m.diff,nmi9m.diff,nmi12m.diff
Vanguard Total Bond Market ETF,Debt,Government/Corporate,,9.317368452,6.45676513,down,0.67,0.33,0.34,0.1179649453194624,0.21273454928045554,-0.0018241913225293825,0.05762391166226282,0.5138337283894486,-0.5183873159626983,-0.4041698864528542,-0.28389917727101555,-0.4804903476081457,-0.22411624381658846,1.1997583924303645,-1.404480494119529,0.13418657278369128,0.20894126344305203,0.28232132478160904,0.582527061181586,0.5608465516591488,0.3612376462432319,-0.23650625895142158,-0.7478582197545351,0.026532579242091178,0.19124829531567794,0.13357259283577813,-0.4936636605492751,0.4831341389579727,-0.6191143282676379,0.161599852577789,0.018066941584827644,0.03865194699169738,-0.3061389520341985,0.7380328217559532,-0.13048547099310417,0.046928868661698604
iShares Core U.S. Aggregate Bond ETF,Debt,Government/Corporate,,8.992402489,6.256097385,down,0.63,0.33,0.3,0.20636857099870815,0.22598084146494496,0.019473826759923898,0.03504059124948324,0.4249812291140773,-0.39728839729052945,-0.24904725432496422,-0.49168188181081635,-0.5262229180792107,-0.2354980280867826,1.2284421171502784,-1.2831143414855533,-0.11546623576532968,0.3603649359165908,0.434488116194846,0.323858989822401,0.299419727071423,0.14651236557319638,-0.30275067469635547,-0.6826394081702464,0.19693015521909923,0.14485406892100625,0.0951166412035429,-0.5835328106837118,0.4560923979032712,-0.50411601144189,0.25818056929222394,-0.09249726394920531,0.0034613700680885535,-0.22995017099310028,0.6266001837415488,-0.13566978374838473,0.03606487279494421
iShares 20+ Year Treasury Bond ETF,Debt,Government/Agency-LT,,26.09700634,17.16351977,down,0.7,0.33,0.37,0.7075279398655356,0.1815490960810853,0.4271035240073743,-0.44814500757449,0.14726416726793867,0.06958448422683526,-0.2130380126081078,-0.25483192102198793,-1.105839295228505,0.2489953396883934,0.7358717578721627,-1.015070262157148,0.46683594752086643,-0.1602882878971747,0.587620115299859,-0.14230109282293119,0.4258407745943732,0.09100385374983674,0.5780811708634059,-0.17389802504299479,-0.17658810172581688,0.07014325438402495,0.16615691032196897,-0.3652656006330582,0.44582157039115666,-0.46063376692635116,0.0146697850525844,0.20821647539128801,0.28568740542942755,-0.26271657179716335,0.7232425978299444,-0.29174761152945705,-0.22285699613311374
Vanguard Intermediate-Term Corporate Bond ETF,Debt,Corporate/Preferred,,7.39993474,6.121704011,down,0.67,0.33,0.34,0.126664543384495,0.3067248506498306,0.36053205641708963,-0.05296245980771792,0.44673286666730166,-0.2707545254182129,-0.24999071382788418,0.42529117540065886,-0.5231694565644591,-0.18183150698850295,0.6563618354268042,-1.4075739006854964,0.34027215677293715,0.3171857264778169,0.23543674579348894,0.000521911805258809,0.2661722333133176,0.29295869540639574,-0.28189659051265403,-0.5787432869271188,0.15790934516261948,0.14445073642738834,0.12271555415600843,-0.9055994841254876,0.6466931730830159,-0.3870832139864166,0.0990744910927645,-0.09264876104366328,0.13384417325070033,-0.3079222547758284,0.4252354840790928,-0.1358957506829481,0.17299227332561698
Vanguard Short-Term Corporate Bond ETF,Debt,Corporate/Preferred,,2.858215381,2.569087626,down,0.63,0.33,0.3,0.2821697944776583,0.19484272380463172,0.012972359632624988,-0.2761089195909261,0.5129360399151366,-0.6543642353733226,0.31674020302123485,-0.30737767514788494,-0.4674626547715447,-0.30836446311992755,0.8401947216755545,-0.9395401761552058,-0.07424764460954404,0.26124162438867804,0.298502304511898,0.17468211040927303,-0.1666793747542394,0.26779702835944735,-0.36371350599200025,-0.6991444992222668,0.4450085737000062,0.0043622770765719,-0.03348469112578655,-0.35160119193484707,0.2361502233870354,-0.41423935991593014,-0.006153499861365419,0.0015458006471809423,-0.11601861176776104,-0.08538267515183542,0.4646893273718038,-0.25072819351548226,0.28846454933064175
SPDR Bloomberg 1-3 Month T-Bill ETF,Debt,Govt/Agency-Short Term,,0.097033979,0.093004709,down,0.81,0.33,0.48,0.16312950165503914,-1.1098681587649786,-1.214130437455568,0.9197528243694989,1.3682044427889928,0.11326820544017761,0.14617332029572896,-0.45655355868814135,0.342476844473253,0.1772918397760284,0.8037124163147075,0.4039567366097364,-0.30161587199814477,-0.21227502065949025,-0.33538964937623367,0.22147563863899777,0.49051115080204666,0.8559332052187452,-0.18064665548027053,0.2505747810077171,0.6100392150752669,-0.01898381244993249,-0.5974968944600503,-0.2035272447172341,-0.31845742684995726,-0.3253499946332939,0.6993563641737826,-0.17436721394010002,-0.022227717878506827,0.26924952708693634,0.49725947668918663,-0.28984738106803315,-0.32074222935681435
Vanguard Short-Term Bond ETF,Debt,Govt/Corp Short Term,,2.841809608,2.597527713,down,0.67,0.33,0.34,0.3426155939938363,0.14428474590482232,-0.34008483159729386,-0.5045463271038132,0.47834328995136755,0.3161194286458737,-0.21486835113689,0.055682267062200454,-0.5027926723045447,-0.2471321250105218,1.0391581149843487,-1.1811836732033356,-0.026505062367611347,0.30772813631793006,-0.011836655737256742,0.35194123825238505,-0.06487633058386816,-0.11258350026853567,-0.22917570604696713,-0.602802437059325,0.44922507735861894,-0.058520803350414395,0.23917850126584997,-0.056925186788920355,0.541117448285178,-0.5657242625871602,0.27320814407095384,-0.15233138565903145,-0.08970844368473802,-0.23049340941304902,0.4368868155392542,-0.07830854225512279,-0.009297121590863622
iShares iBoxx $ Investment Grade Corporate Bond ETF,Debt,Corp/Pref-Inv Grade,,13.81086878,8.610471499,down,0.56,0.33,0.22,-0.2130438570090132,0.05989422493729816,0.26092908408079424,-0.3997293313560986,0.7018785229722984,-0.2940881640094502,-0.5355070083886443,0.4086405635833079,-0.29428880406189384,-0.05013038983275786,0.7271761582992226,-1.0378914829111352,-0.03404190354598684,0.18210937719948775,0.626939331533802,0.685191543002418,0.3610205502489008,0.14612935014606304,0.08540575778615679,-0.807409866182074,0.023247775774297447,-0.012074685019933265,0.43954471653562327,-0.7618967126972662,0.5030964109236232,-0.2812646271560121,-0.0876792906973058,0.0660939824854164,-0.17544145442508555,-0.4342223865278727,0.5015434593469712,-0.010285407188705416,0.05527578153555388
iShares 7-10 Year Treasury Bond ETF,Debt,Govt/Agency-Inter Term,,8.443509273,7.372520838,down,0.52,0.33,0.19,0.598804302319493,0.10317062408701921,0.21687648363572815,-0.3047941026572029,0.3017274356840316,0.22991871814986034,-0.7504929032600745,-0.3524210633667638,-0.6338263371784892,-0.4557776728924624,1.0845641723423027,-1.377986607085746,0.46376130974349905,0.7374011647878324,0.14269607639776005,-0.16106317379722213,-0.027345829888981505,-0.10602940601918681,-0.2575701594545811,-0.7383279934770858,0.059316720999500236,0.48033050072042816,0.01741242404874394,-0.3157999589936584,0.5812790575615945,-0.5999990242008526,0.22783926892761477,0.04262289847857338,0.030451386223065716,-0.1396008152515977,0.28148755442749124,-0.2012283688930613,0.036939351755116485
iShares 1-3 Year Treasury Bond ETF,Debt,Govt/Agency-Short Term,,1.956955172,1.831927077,down,0.59,0.33,0.26,0.2542425346317652,0.5046923312436845,-0.4887758182890757,-0.3776355456954747,0.2662476938175401,0.1690781959001057,-0.2858115698250494,0.06600873454232481,-0.35348351635983083,-0.7994950908205125,1.129144758507241,-0.9175745155888179,-0.21560625734541872,0.42521256786687384,0.0416163816705966,0.10079366562034403,0.080378847603545,-0.19676587555050568,-0.5111158108817236,-0.5564636632276205,0.11664018878232962,0.3652826408806457,-0.015898513438221983,0.025882810791853977,0.623846071023431,-0.8268286823513437,0.21053369978524192,-0.11873749941071884,0.13718286584727943,-0.18308114270656478,0.4131643089867662,0.1082004950926343,-0.030176588360686048
