name,assetclass,subgroup,style,maturity,duration,direction,accuracy,observed,improvement,pmi.above,nmi.above,cpi.above,pmi1m.above,pmi3m.above,pmi6m.above,pmi9m.above,pmi12m.above,nmi1m.above,nmi3m.above,nmi6m.above,nmi9m.above,nmi12m.above,cpiyoy1m.above,cpiyoy3m.above,cpiyoy6m.above,cpiyoy9m.above,cpiyoy12m.above,cpiyoy1m.diff,cpiyoy3m.diff,cpiyoy6m.diff,cpiyoy9m.diff,cpiyoy12m.diff,pmi1m.diff,pmi3m.diff,pmi6m.diff,pmi9m.diff,pmi12m.diff,nmi1m.diff,nmi3m.diff,nmi6m.diff,nmi9m.diff,nmi12m.diff
Direxion Daily 20 Year Plus Treasury Bull 3x Shares,Debt,Government/Agency-LT,,,,up,0.74,0.47,0.27,-0.7764268628102646,0.05934584539054261,0.0957015966673403,0.2577067394556529,-0.09144094546009503,-0.11641391488854921,0.06877804801744145,0.02395329365558057,1.1393805936793235,-0.28801460180757504,-0.7661944368031557,1.0647583475325813,-0.18569414464770567,-0.0857432747784319,-0.47837565729272236,-0.3896687647951656,-0.1239467640242876,-0.01608319608691407,-0.7986074208768051,0.408294519545692,0.40774464857391374,-0.2578136276264767,-0.1418034718935997,0.4707660167179634,-0.578382325111004,0.6106828467271722,0.052034774355653485,-0.31614598047615916,-0.16183066357676243,0.17398386081902315,-0.5499858050841658,0.08659375708141906,0.32583976355379807
SPDR Portfolio Long Term Treasury ETF,Debt,Government/Agency-LT,,23.17620337,15.54856837,up,0.74,0.48,0.26,-0.7599001329359776,0.008969291230611444,-0.25285509311235516,0.3174916416807558,-0.1294047830440119,-0.08226406641134139,0.1323367594435357,0.15722989296674283,1.1157391059596744,-0.2450851595861166,-0.6885743097397364,1.114766424598048,-0.35151533592678735,0.0670146342446083,-0.3026020991253879,-0.1446016822790185,-0.32450778892434035,-0.12208690111597666,-0.6758090944331347,0.3996544817981076,0.26653385151857706,-0.21882730315662594,-0.14635939184561594,0.28238583191012956,-0.4476620745219403,0.5031701531314936,0.03396626569804504,-0.25592445683780407,-0.24571341269469765,0.26641767074132705,-0.6643107532776208,0.2814373470511929,0.167990506055507
Vanguard Intermediate-Term Treasury ETF,Debt,Govt/Agency-Inter Term,,5.649489193,5.023209956,up,0.74,0.52,0.22,-0.7027462975827289,-0.015247569033919363,0.0024868694030105057,0.27817329838491284,-0.21339236307512033,0.13778570884102437,0.4551939291548779,0.7502552331575414,0.4660371605521971,0.3269910438071069,-1.203461641140342,0.9294225789494602,0.015008790462943889,-0.5030130612138883,-0.1312359218978462,0.030208070971034878,0.11759668201041283,0.08942358597260522,0.20063810436304844,0.40333547174534873,-0.2093768715123801,-0.23023427764950258,-0.10126624190387863,0.2934745260285748,-0.5505516877751607,0.407356146579537,-0.10762640153655365,-0.07141870995197147,-0.1203510696831205,0.33320693676584356,-0.41338978196670617,0.27839020796806135,-0.11647919823098801
iShares 20+ Year Treasury Bond ETF,Debt,Government/Agency-LT,,26.09700634,17.16351977,up,0.7,0.5,0.21,-0.7075279398655356,-0.1815490960810853,-0.4271035240073743,0.44814500757449,-0.14726416726793867,-0.06958448422683526,0.2130380126081078,0.25483192102198793,1.105839295228505,-0.2489953396883934,-0.7358717578721627,1.015070262157148,-0.46683594752086643,0.1602882878971747,-0.587620115299859,0.14230109282293119,-0.4258407745943732,-0.09100385374983674,-0.5780811708634059,0.17389802504299479,0.17658810172581688,-0.07014325438402495,-0.16615691032196897,0.3652656006330582,-0.44582157039115666,0.46063376692635116,-0.0146697850525844,-0.20821647539128801,-0.28568740542942755,0.26271657179716335,-0.7232425978299444,0.29174761152945705,0.22285699613311374
Vanguard Long-Term Treasury ETF,Debt,Government/Agency-LT,,23.20035779,15.5676815,up,0.7,0.5,0.2,-0.7089696737768965,-0.20427479021547473,-0.3460213077769395,0.5191416261221383,-0.1677152072463291,0.036697991751453204,0.1771569810670323,0.07568308514120353,1.1572244117420298,-0.2756226758719493,-0.7296966117079831,1.250136318925487,-0.38002068549850365,0.27512939189494623,-0.5993871708008695,0.1077911316857214,-0.4928474321510934,-0.01711802849222796,-0.6020619098727077,0.08121292260963223,0.08730773972125457,-0.04869667984337275,-0.16698539417513356,0.15625086924004752,-0.4778415706822982,0.43857641779498374,0.11216078404811744,-0.21972662683844507,-0.22195869950909636,0.2080142129368831,-0.8620684102012917,0.1774961881156092,0.3094379736773839
iShares 10-20 Year Treasury Bond ETF,Debt,Government/Agency-LT,,17.53182797,13.19052737,up,0.67,0.47,0.19,-0.8042281321808814,-0.12759450278912945,0.06825059264373709,0.3098730475652685,-0.15955400393931773,-0.2448487064857934,0.18840238936137427,0.10312062202036215,0.8008580649342094,-0.0036219182857052967,-0.4831273544798398,1.317153716619743,-0.4359987234035853,-0.6385941274752521,0.04658861857703344,-0.05096690606720365,-0.3140449568109498,-0.02233073641986481,-0.288982109117102,0.4195035090992679,0.1256729548315122,-0.154176054294755,-0.08965759149697429,0.1584963616180431,-0.44740084265950064,0.5539166987409567,0.011746113644146013,-0.2557218624336452,-0.17361265168040657,0.2854354530494181,-0.6961011603580763,0.16724729352181628,0.2965434951992494
Invesco DB Commodity Index Tracking Fund,Commodity,Commodity,,,,up,0.74,0.56,0.18,0.17226081659173254,0.17508516607045055,-0.4471488432680809,0.17702214061206503,0.993944461884389,0.41146099627698013,-0.45129211262949626,0.09357226216144524,0.06024359292058524,0.10729382652003897,-0.3316599316680814,-0.3417701384047248,-0.7963970142391004,-0.5229168138055402,-0.017522102790474677,0.4750962480984399,0.4810589490253392,-0.49996510317868764,1.2250919693508606,-0.10373071096721656,0.19168732055391302,0.6705570231685514,-0.36024105235982085,0.17675938449977985,0.3602272688490559,-0.298166114234209,-0.2732413957140665,0.35092626176567476,-0.31862212893694786,0.2663696358246488,0.4970290337887956,-0.5636660122905234,0.1952380371715959
United States Oil Fund LP,Commodity,Commodity,,,,up,0.67,0.51,0.16,0.1964225654138386,0.3459116748201111,-0.5166443511744249,0.4680767701110811,-0.14013652970715876,0.6900438843527883,-0.3259005706273787,0.17513236129644272,0.010025609982152853,-0.16523331365195337,-0.17036575255553243,-0.12725480912488704,-0.856530235741691,-0.5765279941748163,-0.3793272661850674,0.5919936787568688,0.853524827858038,-0.4271070230468838,1.0024904263191685,-0.32807146604823534,0.512134880742998,0.21162797521488128,-0.35769744961923,0.5759482525311368,0.3857618705551035,-0.60982547235869,0.12190922116349191,0.054078248455644656,-0.1386856992637534,0.28656888732564223,0.32481466845862905,-0.10401370801363405,-0.10717301248254413
ProShares UltraShort 20+ Year Treasury,Debt,Government/Agency-LT,,,,up,0.63,0.47,0.16,0.6053498065138565,0.03253636265325986,0.1867817346610674,-0.8052674726768149,0.5412475600302328,-0.052842963016470616,-0.2979707488943678,-0.16547233787041263,-0.6513690190767474,-0.059389250286358976,0.9450180678927572,-1.2978663152561343,0.4297723147511081,-0.4246495402313907,0.4610863258112488,0.10917300918065173,0.5593596580927332,-0.0022814249226681695,0.4656333480613927,-0.3655352419459932,-0.19279824012217409,0.19099575862576276,0.16087151747983938,-0.19032876166105359,0.4866509930017116,-0.46010764551506134,-0.1445092530609279,0.2731501596004019,0.23110015306000195,-0.14806910162750095,0.642699299291393,-0.13104592184035924,-0.21113916067400784
iShares Short Treasury Bond ETF,Debt,Govt/Agency-Short Term,,0.269452763,0.25609057,up,0.85,0.69,0.16,-0.5366546266061197,-0.04543886925524982,0.667459792261391,0.009458291955911803,0.2567444743255995,0.2575688049824447,-0.26217807099308277,0.9775621452148824,-1.0336172502593661,-0.14589633181753062,-0.30843072064062005,-0.0966686841914978,-0.6705237112260087,0.5892520912279887,0.7221272004015757,-0.5715215805667734,-0.09262568392623084,-0.5374945146492504,0.6505420575709625,0.8475014928438676,-0.4918733095045019,-0.14351194985535873,-0.8048369636663623,0.9150056346898463,-0.38563427414904095,0.7159159552311037,-0.735667671790434,0.09215515951319184,0.30064686664483803,0.2529383774611672,-0.3723688018215958,0.09492123376307204,0.15250890677691942
ProShares Ultra Silver,Commodity,Commodity,,,,up,0.56,0.41,0.14,0.5669469583670196,0.0034520187891532677,-0.2368255905760148,-0.29758732657676845,0.5327137115632202,0.20718666973706745,-0.57044921896036,-0.5900133851497851,0.04423903181011713,-0.2009120806499905,-0.11758971770283898,0.5197597263963372,-0.14269919947195486,0.26727874069130403,0.35879149555251083,-0.009593197862785894,0.2707855194660915,-0.3027964552349941,0.4163532478660978,0.3075141138255015,-0.6100464965778346,0.4199812722271044,-0.3981205065894072,0.030694831687218538,-0.1689869924338664,0.021146191603431994,0.4001522840345226,-0.14739246233734296,-0.7664885628984427,0.24883705693200195,-0.15090108198266347,0.25040684535288327,-0.3994810470089849
Schwab Intermediate-Term U.S. Treasury ETF,Debt,Govt/Agency-Inter Term,,5.626096999,4.998596626,up,0.67,0.53,0.13,-0.9343747841912979,-0.22659319265953307,0.15165104341190586,0.5965596598156998,-0.09037526563537555,-0.00587254092596058,0.3774547865288606,0.4554907902594023,0.642151375584694,0.42189492029783104,-1.0344847545527287,1.2756261886873306,-0.1068581069120594,-0.3701106511923033,-0.14486515671664563,0.03312903414475704,0.09840148325383649,0.2946802612760855,0.22452765658560866,0.40056620091848444,-0.33011459056893383,-0.22790006389946466,-0.1094907538821048,0.07457952931915311,-0.611568446738346,0.46494722811483175,-0.03305227170398435,-0.059799393786206974,0.00022424420718268772,0.26298248276517083,-0.5467199347486358,0.10071204422117418,0.018043732509711023
Invesco DB Oil Fund,Commodity,Commodity,,,,up,0.67,0.53,0.13,0.19476881488656897,0.2318701245597197,-0.28686730869221827,0.1790149334363383,0.5244712178658467,0.6225105387896225,-0.6573611211050242,0.03413820144537599,0.27698140182541037,-0.23662609506637006,-0.012032111392638005,0.03364965938880101,-0.6287131812989085,-0.45049453152448526,-0.07586442065273277,0.4210659162152648,0.7640379395535427,-0.7813207445159274,1.1818746654931729,-0.2350476439355133,0.2549113457579449,0.34119267715028895,-0.18356816325413308,0.25255954639056133,0.49803992737312514,-0.5313656854861243,-0.19287046279776626,0.351422737187334,-0.19455762612039054,0.15086517671646105,0.5046344777434755,-0.4932669617636205,0.1825477006236534
iShares Silver Trust,Commodity,Commodity,,,,up,0.56,0.43,0.13,0.5478589445335311,-0.1751292318399152,0.07063488230830822,-0.44679614358465075,0.42715319256751133,0.039027988190581134,-0.5287431943001217,-0.3208551988086348,0.018828012840393135,-0.002185403515071613,-0.12205472910135705,0.40805967853180214,0.15229953168741206,0.4338440994002679,0.24846715288588875,0.1049330986689322,0.19445081928057084,-0.29661429253340243,0.4385234593612201,0.38850244424407115,-0.6294692168396775,0.391808390738425,-0.3856341874955482,0.03433183700086324,-0.146252247031129,0.05555497772536488,0.482497683987943,-0.23531099591687396,-0.7404049234169799,0.17455129222842633,-0.07103230650010682,0.2509864626391359,-0.4322705983233101
iShares S&P GSCI Commodity-Indexed Trust,Commodity,Commodity,,,,up,0.67,0.54,0.13,0.09418818695532775,0.3057666231304508,-0.48037208475270016,0.3942508036832349,0.3817277260166106,0.7777170850986884,-0.45258842620663653,0.0049594166356055095,0.08849257698452535,0.2998624754303915,-0.19811404476718414,-0.20344068779310356,-1.4785560672287177,-0.5484939344060498,-0.05538661396585777,0.4542549748467176,0.6155668765060164,-0.4284581959833325,1.1285656120661238,-0.19210670260288298,0.12204131425451052,0.3294562726434039,-0.1859416783169308,0.487464825672684,0.21731109710287513,-0.3903622668164532,-0.03570702057410116,0.14175918250651734,-0.12814088665438994,0.262127614887698,0.2691768941088906,-0.21151685071234225,0.06520613067328652
Direxion Daily 20 Year Plus Treasury Bear 3x Shares,Debt,Government/Agency-LT,,,,up,0.59,0.48,0.11,0.598420397645229,-0.046642936121674736,-0.10503335072818445,-0.774280831431837,0.5388824064511266,-0.021758885020551445,-0.2436294728025471,-0.16581875420981074,-0.6420609620694767,-0.06716116131464746,0.8920457731535069,-1.2984484567098848,0.4601784285463015,-0.1811461495953476,0.6532183862373555,0.27592155340203706,0.39625004959767,-0.06651838257918584,0.4578463845526731,-0.36446123029302796,-0.31076588858864823,0.2266000411431704,0.18181411289945137,-0.25970854783860187,0.5097850338440014,-0.47633853405581034,-0.12157265322245343,0.25364662472263694,0.21677561119528602,-0.1289618438951584,0.6944123548867388,-0.13438103034603152,-0.28452423946955413
SPDR Portfolio Intermediate Term Treasury ETF,Debt,Govt/Agency-Inter Term,,5.706229726,5.023477259,up,0.67,0.56,0.11,-0.9422065765253798,-0.22090428835568615,0.0941698616245784,0.6087431219938374,-0.16152275039003922,0.00627145867050849,0.4067063559591486,0.39165824443667163,0.6031569712686488,0.3381003200058462,-1.0946446592944445,1.3626139596974374,0.08113216900213435,-0.36670956916737696,-0.22835687332191065,-0.10721026573315903,-0.04810366332470088,0.26402272990956444,-0.02345566441163847,0.675487681326677,-0.22046749183765016,-0.23406434873011178,-0.2627376744035464,0.05656409461386144,-0.6383166742245204,0.544790585733351,-0.019712122142171638,-0.07726206783245879,0.06278051025533389,0.2230603235731201,-0.6122062409905819,0.07892653789320891,-0.017476309053070998
SPDR S&P Metals & Mining ETF,Equity,Precious Metals,Small,,,up,0.59,0.5,0.1,0.14832290992076663,0.1092229891793113,-1.0200557180053473,-0.2710326348789092,1.0389492362010744,0.7326904258337933,-0.6069315562603016,0.24083736174623407,-0.26570512903263976,-0.17081757162637792,-0.6164010857330993,0.38602224572318034,-0.8643658742303717,0.4347521730835896,0.49059107088744025,0.3452897087377855,-0.30748038000748257,-0.26440908870892343,0.13919034121303864,-0.1431839826652903,-0.0004745191339968247,0.4115376514893207,-0.4497663069741897,-0.042650598325871626,0.29551780153011653,-0.40607270668135564,0.07510660557580229,0.12170439546911403,-0.13711327294729153,-0.1089392993442856,0.1908217688853283,-0.02091874110609954,-0.06894802410969102
Vanguard Short-Term Treasury ETF,Debt,Govt/Agency-Short Term,,1.958428169,1.831229711,up,0.67,0.57,0.1,-0.4958663876296579,-0.343686046707215,0.5345629256091811,0.2569520352759879,-0.23391700252931297,-0.13058020470628354,0.25319909944808294,-0.07121553966399885,0.3552866116018645,0.7345310765006607,-1.1729199891308317,1.1847180296516941,-0.05302536829925145,-0.15384527785818797,0.0036388465168770865,-0.4381478295198711,-0.029711099601955757,0.12722911872865808,0.3067109165451751,0.4922185849049544,-0.28444782398897,-0.2558340839202354,-0.018773051082964065,0.11797335081600992,-0.6389377590701791,0.7069555950070252,-0.22640039265470016,0.11145234878882417,0.0826918684677266,0.2759879043095823,-0.5757513923976456,0.056043825605921894,-0.013036375034833486
SPDR Dow Jones Industrial Average ETF Trust,Equity,Growth&Income-Large Cap,Large,,,up,0.74,0.64,0.1,0.16983410784182718,0.05507548283939323,-0.5127841167755826,0.5976612117048712,0.10464368665369386,0.3912113207441895,-0.4453162211181163,-0.769991407435298,-0.20706724974294546,-0.39946376197082056,-0.56185880368059,1.1759644555996904,-0.521333467430152,-0.007016568776596593,-0.08380285702036387,0.017291761871587347,0.28788922997514044,-0.5983512000492192,-0.018916991908052593,0.08808422948061016,-0.33053994639367074,0.23846599767887172,0.23625535947721016,0.1652217655126657,0.24606165392840398,-0.04212174599199329,-0.4854245352054217,0.48433823131376597,-0.2758718125030404,-0.1573268834421182,0.02297169528067565,-0.3334859025311142,0.37487755390391786
