Date,S5COND.open,S5COND.high,S5COND.low,S5COND.close,S5COND.volume,S5COND.total_ret_index_gross_dvd,S5COND.total_ret_index_net_dvd
1989-09-11,77.3292,77.3292,77.3292,77.3292,,77.3292,77.3292
1989-09-12,77.3302,77.3302,77.3302,77.3302,,77.3302,77.3302
1989-09-13,76.3118,76.3118,76.3118,76.3118,,76.3118,76.3118
1989-09-14,75.5309,75.5309,75.5309,75.5309,,75.5309,75.5309
1989-09-15,75.6598,75.6598,75.6598,75.6598,,75.6598,75.6598
1989-09-18,75.8749,75.8749,75.8749,75.8749,,75.8749,75.8749
1989-09-19,75.9463,75.9463,75.9463,75.9463,,75.9463,75.9463
1989-09-20,75.6241,75.6241,75.6241,75.6241,,75.6241,75.6241
1989-09-21,75.3951,75.3951,75.3951,75.3951,,75.3951,75.3951
1989-09-22,75.5477,75.5477,75.5477,75.5477,,75.5477,75.5477
1989-09-25,74.958,74.958,74.958,74.958,,74.958,74.958
1989-09-26,75.3697,75.3697,75.3697,75.3697,,75.3697,75.3697
1989-09-27,75.552,75.552,75.552,75.552,,75.552,75.552
1989-09-28,76.1577,76.1577,76.1577,76.1577,,76.1577,76.1577
1989-09-29,75.8588,75.8588,75.8588,75.8588,,75.8588,75.8588
1989-10-02,76.4333,76.4333,76.4333,76.4333,,76.4333,76.4333
1989-10-03,77.3606,77.3606,77.3606,77.3606,,77.3606,77.3606
1989-10-04,77.71,77.71,77.71,77.71,,77.71,77.71
1989-10-05,77.6376,77.6376,77.6376,77.6376,,77.6376,77.6376
1989-10-06,77.8869,77.8869,77.8869,77.8869,,77.8869,77.8869
1989-10-09,78.2182,78.2182,78.2182,78.2182,,78.2182,78.2182
1989-10-10,78.0644,78.0644,78.0644,78.0644,,78.0644,78.0644
1989-10-11,77.5295,77.5295,77.5295,77.5295,,77.5295,77.5295
1989-10-12,76.9581,76.9581,76.9581,76.9581,,76.9581,76.9581
1989-10-13,72.1454,72.1454,72.1454,72.1454,,72.1454,72.1454
1989-10-16,74.037,74.037,74.037,74.037,,74.037,74.037
1989-10-17,73.3227,73.3227,73.3227,73.3227,,73.3227,73.3227
1989-10-18,73.2975,73.2975,73.2975,73.2975,,73.2975,73.2975
1989-10-19,74.6295,74.6295,74.6295,74.6295,,74.6295,74.6295
1989-10-20,74.5971,74.5971,74.5971,74.5971,,74.5971,74.5971
1989-10-23,74.2851,74.2851,74.2851,74.2851,,74.2851,74.2851
1989-10-24,74.2088,74.2088,74.2088,74.2088,,74.2088,74.2088
1989-10-25,73.4919,73.4919,73.4919,73.4919,,73.4919,73.4919
1989-10-26,72.3614,72.3614,72.3614,72.3614,,72.3614,72.3614
1989-10-27,71.6562,71.6562,71.6562,71.6562,,71.6562,71.6562
1989-10-30,71.3799,71.3799,71.3799,71.3799,,71.3799,71.3799
1989-10-31,72.205,72.205,72.205,72.205,,72.205,72.205
1989-11-01,72.3846,72.3846,72.3846,72.3846,,72.3846,72.3846
1989-11-02,71.7985,71.7985,71.7985,71.7985,,71.7985,71.7985
1989-11-03,71.5717,71.5717,71.5717,71.5717,,71.5717,71.5717
1989-11-06,70.4032,70.4032,70.4032,70.4032,,70.4032,70.4032
1989-11-07,70.8673,70.8673,70.8673,70.8673,,70.8673,70.8673
1989-11-08,71.655,71.655,71.655,71.655,,71.655,71.655
1989-11-09,71.2905,71.2905,71.2905,71.2905,,71.2905,71.2905
1989-11-10,71.8189,71.8189,71.8189,71.8189,,71.8189,71.8189
1989-11-13,72.1258,72.1258,72.1258,72.1258,,72.1258,72.1258
1989-11-14,71.6015,71.6015,71.6015,71.6015,,71.6015,71.6015
1989-11-15,71.8548,71.8548,71.8548,71.8548,,71.8548,71.8548
1989-11-16,71.3717,71.3717,71.3717,71.3717,,71.3717,71.3717
1989-11-17,71.6055,71.6055,71.6055,71.6055,,71.6055,71.6055
1989-11-20,71.0945,71.0945,71.0945,71.0945,,71.0945,71.0945
1989-11-21,70.9125,70.9125,70.9125,70.9125,,70.9125,70.9125
1989-11-22,71.0378,71.0378,71.0378,71.0378,,71.0378,71.0378
1989-11-24,71.4718,71.4718,71.4718,71.4718,,71.4718,71.4718
1989-11-27,71.8883,71.8883,71.8883,71.8883,,71.8883,71.8883
1989-11-28,71.7788,71.7788,71.7788,71.7788,,71.7788,71.7788
1989-11-29,71.2296,71.2296,71.2296,71.2296,,71.2296,71.2296
1989-11-30,71.7006,71.7006,71.7006,71.7006,,71.7006,71.7006
1989-12-01,72.4929,72.4929,72.4929,72.4929,,72.4929,72.4929
1989-12-04,72.3769,72.3769,72.3769,72.3769,,72.3769,72.3769
1989-12-05,72.1527,72.1527,72.1527,72.1527,,72.1527,72.1527
1989-12-06,71.9525,71.9525,71.9525,71.9525,,71.9525,71.9525
1989-12-07,71.8248,71.8248,71.8248,71.8248,,71.8248,71.8248
1989-12-08,71.9048,71.9048,71.9048,71.9048,,71.9048,71.9048
1989-12-11,71.6272,71.6272,71.6272,71.6272,,71.6272,71.6272
1989-12-12,71.5127,71.5127,71.5127,71.5127,,71.5127,71.5127
1989-12-13,71.6324,71.6324,71.6324,71.6324,,71.6324,71.6324
1989-12-14,71.0962,71.0962,71.0962,71.0962,,71.0962,71.0962
1989-12-15,70.8648,70.8648,70.8648,70.8648,,70.8648,70.8648
