Date,S5CONS.open,S5CONS.high,S5CONS.low,S5CONS.close,S5CONS.volume,S5CONS.total_ret_index_gross_dvd,S5CONS.total_ret_index_net_dvd
1989-09-11,57.81,57.81,57.81,57.81,,57.81,57.81
1989-09-12,57.85,57.85,57.85,57.85,,57.85,57.85
1989-09-13,57.16,57.16,57.16,57.16,,57.16,57.16
1989-09-14,56.95,56.95,56.95,56.95,,56.95,56.95
1989-09-15,57.01,57.01,57.01,57.01,,57.01,57.01
1989-09-18,57.28,57.28,57.28,57.28,,57.28,57.28
1989-09-19,57.54,57.54,57.54,57.54,,57.54,57.54
1989-09-20,57.44,57.44,57.44,57.44,,57.44,57.44
1989-09-21,57.13,57.13,57.13,57.13,,57.13,57.13
1989-09-22,57.28,57.28,57.28,57.28,,57.28,57.28
1989-09-25,56.92,56.92,56.92,56.92,,56.92,56.92
1989-09-26,57.09,57.09,57.09,57.09,,57.09,57.09
1989-09-27,57.46,57.46,57.46,57.46,,57.46,57.46
1989-09-28,58.77,58.77,58.77,58.77,,58.77,58.77
1989-09-29,58.93,58.93,58.93,58.93,,58.93,58.93
1989-10-02,59.15,59.15,59.15,59.15,,59.15,59.15
1989-10-03,60.14,60.14,60.14,60.14,,60.14,60.14
1989-10-04,60.59,60.59,60.59,60.59,,60.59,60.59
1989-10-05,60.7,60.7,60.7,60.7,,60.7,60.7
1989-10-06,61.17,61.17,61.17,61.17,,61.17,61.17
1989-10-09,61.28,61.28,61.28,61.28,,61.28,61.28
1989-10-10,61.23,61.23,61.23,61.23,,61.23,61.23
1989-10-11,61.03,61.03,61.03,61.03,,61.03,61.03
1989-10-12,60.51,60.51,60.51,60.51,,60.51,60.51
1989-10-13,56.32,56.32,56.32,56.32,,56.32,56.32
1989-10-16,58.43,58.43,58.43,58.43,,58.43,58.43
1989-10-17,58.61,58.61,58.61,58.61,,58.61,58.61
1989-10-18,58.9,58.9,58.9,58.9,,58.9,58.9
1989-10-19,59.95,59.95,59.95,59.95,,59.95,59.95
1989-10-20,59.92,59.92,59.92,59.92,,59.92,59.92
