Date,S5ENRS.open,S5ENRS.high,S5ENRS.low,S5ENRS.close,S5ENRS.volume,S5ENRS.total_ret_index_gross_dvd,S5ENRS.total_ret_index_net_dvd
1989-09-11,82.97,82.97,82.97,82.97,,82.97,82.97
1989-09-12,83.84,83.84,83.84,83.84,,83.84,83.84
1989-09-13,83.16,83.16,83.16,83.16,,83.16,83.16
1989-09-14,82.2,82.2,82.2,82.2,,82.2,82.2
1989-09-15,82.67,82.67,82.67,82.67,,82.67,82.67
1989-09-18,83.41,83.41,83.41,83.41,,83.41,83.41
1989-09-19,83.02,83.02,83.02,83.02,,83.02,83.02
1989-09-20,82.94,82.94,82.94,82.94,,82.94,82.94
1989-09-21,82.85,82.85,82.85,82.85,,82.85,82.85
1989-09-22,83.22,83.22,83.22,83.22,,83.22,83.22
1989-09-25,82.27,82.27,82.27,82.27,,82.27,82.27
1989-09-26,81.64,81.64,81.64,81.64,,81.64,81.64
1989-09-27,81.69,81.69,81.69,81.69,,81.69,81.69
1989-09-28,82.13,82.13,82.13,82.13,,82.13,82.13
1989-09-29,82.42,82.42,82.42,82.42,,82.42,82.42
1989-10-02,83.04,83.04,83.04,83.04,,83.04,83.04
1989-10-03,83.92,83.92,83.92,83.92,,83.92,83.92
1989-10-04,84.44,84.44,84.44,84.44,,84.44,84.44
1989-10-05,84.48,84.48,84.48,84.48,,84.48,84.48
1989-10-06,85.71,85.71,85.71,85.71,,85.71,85.71
1989-10-09,86.1,86.1,86.1,86.1,,86.1,86.1
1989-10-10,85.89,85.89,85.89,85.89,,85.89,85.89
1989-10-11,85.58,85.58,85.58,85.58,,85.58,85.58
1989-10-12,85.38,85.38,85.38,85.38,,85.38,85.38
1989-10-13,80.06,80.06,80.06,80.06,,80.06,80.06
1989-10-16,82.75,82.75,82.75,82.75,,82.75,82.75
1989-10-17,82.72,82.72,82.72,82.72,,82.72,82.72
1989-10-18,82.87,82.87,82.87,82.87,,82.87,82.87
