Date,S5FINL.open,S5FINL.high,S5FINL.low,S5FINL.close,S5FINL.volume,S5FINL.total_ret_index_gross_dvd,S5FINL.total_ret_index_net_dvd
1989-09-11,80.46,80.46,80.46,80.47,,80.47,80.47
1989-09-12,80.6,80.6,80.6,80.61,,80.61,80.61
1989-09-13,79.77,79.77,79.77,79.78,,79.78,79.78
1989-09-14,79.05,79.05,79.05,79.06,,79.06,79.06
1989-09-15,79.69,79.69,79.69,79.7,,79.7,79.7
1989-09-18,80.1,80.1,80.1,80.11,,80.11,80.11
1989-09-19,79.68,79.68,79.68,79.69,,79.69,79.69
1989-09-20,79.88,79.88,79.88,79.89,,79.89,79.89
1989-09-21,79.99,79.99,79.99,80.0,,80.0,80.0
1989-09-22,80.71,80.71,80.71,80.72,,80.72,80.72
1989-09-25,79.99,79.99,79.99,80.0,,80.0,80.0
1989-09-26,80.15,80.15,80.15,80.17,,80.17,80.17
1989-09-27,80.61,80.61,80.61,80.63,,80.63,80.63
1989-09-28,81.9,81.9,81.9,81.91,,81.91,81.91
1989-09-29,82.75,82.75,82.75,82.76,,82.76,82.76
1989-10-02,83.37,83.37,83.37,83.39,,83.39,83.39
1989-10-03,84.74,84.74,84.74,84.76,,84.76,84.76
1989-10-04,85.16,85.16,85.16,85.18,,85.18,85.18
1989-10-05,84.96,84.96,84.96,84.97,,84.97,84.97
1989-10-06,85.15,85.15,85.15,85.16,,85.16,85.16
1989-10-09,85.34,85.34,85.34,85.35,,85.35,85.35
1989-10-10,85.09,85.09,85.09,85.1,,85.1,85.1
1989-10-11,84.45,84.45,84.45,84.46,,84.46,84.46
1989-10-12,84.01,84.01,84.01,84.02,,84.02,84.02
1989-10-13,78.71,78.71,78.71,78.72,,78.72,78.72
1989-10-16,80.38,80.38,80.38,80.39,,80.39,80.39
1989-10-17,79.72,79.72,79.72,79.73,,79.73,79.73
1989-10-18,80.08,80.08,80.08,80.09,,80.09,80.09
1989-10-19,81.48,81.48,81.48,81.5,,81.5,81.5
1989-10-20,81.83,81.83,81.83,81.85,,81.85,81.85
1989-10-23,81.06,81.06,81.06,81.07,,81.07,81.07
1989-10-24,80.36,80.36,80.36,80.37,,80.37,80.37
1989-10-25,80.57,80.57,80.57,80.59,,80.59,80.59
1989-10-26,79.82,79.82,79.82,79.83,,79.83,79.83
1989-10-27,78.32,78.32,78.32,78.33,,78.33,78.33
1989-10-30,78.03,78.03,78.03,78.04,,78.04,78.04
1989-10-31,79.21,79.21,79.21,79.23,,79.23,79.23
1989-11-01,79.53,79.53,79.53,79.54,,79.54,79.54
1989-11-02,79.03,79.03,79.03,79.04,,79.04,79.04
1989-11-03,78.9,78.9,78.9,78.91,,78.91,78.91
1989-11-06,77.52,77.52,77.52,77.53,,77.53,77.53
1989-11-07,78.03,78.03,78.03,78.05,,78.05,78.05
1989-11-08,79.36,79.36,79.36,79.37,,79.37,79.37
1989-11-09,79.23,79.23,79.23,79.25,,79.25,79.25
1989-11-10,79.33,79.33,79.33,79.34,,79.34,79.34
1989-11-13,79.24,79.24,79.24,79.25,,79.25,79.25
1989-11-14,78.65,78.65,78.65,78.66,,78.66,78.66
1989-11-15,79.15,79.15,79.15,79.16,,79.16,79.16
1989-11-16,79.62,79.62,79.62,79.63,,79.63,79.63
1989-11-17,79.59,79.59,79.59,79.6,,79.6,79.6
1989-11-20,79.15,79.15,79.15,79.16,,79.16,79.16
1989-11-21,79.04,79.04,79.04,79.05,,79.05,79.05
1989-11-22,79.17,79.17,79.17,79.19,,79.19,79.19
1989-11-24,79.64,79.64,79.64,79.65,,79.65,79.65
1989-11-27,79.96,79.96,79.96,79.97,,79.97,79.97
1989-11-28,79.85,79.85,79.85,79.87,,79.87,79.87
1989-11-29,79.03,79.03,79.03,79.04,,79.04,79.04
1989-11-30,78.94,78.94,78.94,78.96,,78.96,78.96
1989-12-01,79.79,79.79,79.79,79.8,,79.8,79.8
1989-12-04,79.56,79.56,79.56,79.57,,79.57,79.57
1989-12-05,78.62,78.62,78.62,78.63,,78.63,78.63
1989-12-06,77.81,77.81,77.81,77.82,,77.82,77.82
1989-12-07,77.25,77.25,77.25,77.26,,77.26,77.26
1989-12-08,77.2,77.2,77.2,77.22,,77.22,77.22
1989-12-11,77.01,77.01,77.01,77.02,,77.02,77.02
1989-12-12,76.98,76.98,76.98,76.99,,76.99,76.99
1989-12-13,77.0,77.0,77.0,77.01,,77.01,77.01
1989-12-14,76.46,76.46,76.46,76.47,,76.47,76.47
1989-12-15,75.31,75.31,75.31,75.33,,75.33,75.33
1989-12-18,71.92,71.92,71.92,71.93,,71.93,71.93
1989-12-19,71.33,71.33,71.33,71.34,,71.34,71.34
1989-12-20,72.78,72.78,72.78,72.79,,72.79,72.79
1989-12-21,73.71,73.71,73.71,73.72,,73.72,73.72
1989-12-22,74.26,74.26,74.26,74.27,,74.27,74.27
1989-12-26,74.36,74.36,74.36,74.37,,74.37,74.37
1989-12-27,74.91,74.91,74.91,74.92,,74.92,74.92
1989-12-28,75.3,75.3,75.3,75.31,,75.31,75.31
1989-12-29,76.13,76.13,76.13,76.14,,76.14,76.14
1990-01-02,77.33,77.33,77.33,77.35,,77.35,77.35
1990-01-03,77.47,77.47,77.47,77.48,,77.48,77.48
1990-01-04,76.96,76.96,76.96,76.97,,76.9866,76.9866
1990-01-05,76.23,76.23,76.23,76.24,,76.2729,76.2729
1990-01-08,76.3,76.3,76.3,76.31,,76.343,76.343
1990-01-09,75.21,75.21,75.21,75.22,,75.2525,75.2525
1990-01-10,74.5,74.5,74.5,74.51,,74.5422,74.5422
1990-01-11,74.82,74.82,74.82,74.83,,74.8623,74.8623
1990-01-12,73.1,73.1,73.1,73.11,,73.1416,73.1416
1990-01-15,72.21,72.21,72.21,72.23,,72.2612,72.2612
1990-01-16,72.72,72.72,72.72,72.73,,72.7699,72.7699
1990-01-17,72.03,72.03,72.03,72.04,,72.0795,72.0795
1990-01-18,72.0,72.0,72.0,72.01,,72.0495,72.0495
1990-01-19,71.83,71.83,71.83,71.84,,71.8794,71.8794
1990-01-22,69.85,69.85,69.85,69.86,,69.9749,69.9749
1990-01-23,69.53,69.53,69.53,69.54,,69.6591,69.6591
1990-01-24,68.93,68.93,68.93,68.94,,69.0817,69.0817
1990-01-25,68.28,68.28,68.28,68.29,,68.4651,68.4651
1990-01-26,67.9,67.9,67.9,67.91,,68.1079,68.1079
1990-01-29,67.35,67.35,67.35,67.36,,67.5821,67.5821
1990-01-30,66.57,66.57,66.57,66.58,,66.8028,66.8028
1990-01-31,68.07,68.07,68.07,68.08,15620600.0,68.3078,68.3078
1990-02-01,67.99,67.99,67.99,68.0,17326500.0,68.2276,68.2276
1990-02-02,68.2,68.2,68.2,68.21,11623000.0,68.4383,68.4383
1990-02-05,68.48,68.48,68.48,68.5,8836000.0,68.7339,68.7339
1990-02-06,67.9,67.9,67.9,67.91,11930300.0,68.1419,68.1419
1990-02-07,68.6,68.6,68.6,68.62,15461800.0,68.8624,68.8624
1990-02-08,68.08,68.08,68.08,68.09,12782800.0,68.3305,68.3305
1990-02-09,68.12,68.12,68.12,68.13,11407200.0,68.3915,68.3915
1990-02-12,67.64,67.64,67.64,67.65,12863400.0,67.9097,67.9097
1990-02-13,67.82,67.82,67.82,67.83,13205900.0,68.0904,68.0904
1990-02-14,68.38,68.38,68.38,68.39,13795900.0,68.6525,68.6525
1990-02-15,69.53,69.53,69.53,69.54,17319700.0,69.8069,69.8069
1990-02-16,69.76,69.76,69.76,69.77,19563900.0,70.0568,70.0568
1990-02-20,68.55,68.55,68.55,68.56,13359500.0,68.8419,68.8419
1990-02-21,68.7,68.7,68.7,68.71,12929300.0,68.9925,68.9925
1990-02-22,68.71,68.71,68.71,68.72,17779200.0,69.0025,69.0025
1990-02-23,68.63,68.63,68.63,68.64,11328200.0,68.9473,68.9473
1990-02-26,69.67,69.67,69.67,69.68,9970500.0,70.0668,70.0668
1990-02-27,69.79,69.79,69.79,69.8,14034200.0,70.1875,70.1875
1990-02-28,70.25,70.25,70.25,70.26,15592100.0,70.65,70.65
1990-03-01,70.39,70.39,70.39,70.4,12788000.0,70.7908,70.7908
1990-03-02,70.93,70.93,70.93,70.94,10822100.0,71.3338,71.3338
1990-03-05,69.99,69.99,69.99,70.0,11265400.0,70.4108,70.4108
1990-03-06,70.62,70.62,70.62,70.63,13348600.0,71.0515,71.0515
1990-03-07,70.26,70.26,70.26,70.27,15813300.0,70.7113,70.7113
1990-03-08,70.91,70.91,70.91,70.92,15118800.0,71.3654,71.3654
1990-03-09,70.28,70.28,70.28,70.29,14134000.0,70.7871,70.7871
1990-03-12,70.34,70.34,70.34,70.36,10414200.0,70.868,70.868
1990-03-13,69.76,69.76,69.76,69.77,11741600.0,70.2811,70.2811
1990-03-14,69.74,69.74,69.74,69.76,14692900.0,70.2838,70.2838
1990-03-15,69.66,69.66,69.66,69.67,13126000.0,70.1932,70.1932
1990-03-16,69.74,69.74,69.74,69.75,19415400.0,70.2819,70.2819
1990-03-19,69.55,69.55,69.55,69.56,10854600.0,70.0905,70.0905
1990-03-20,68.93,68.93,68.93,68.94,22749300.0,69.5189,69.5189
1990-03-21,68.46,68.46,68.46,68.47,13988400.0,69.045,69.045
1990-03-22,67.28,67.28,67.28,67.29,23320400.0,67.8551,67.8551
1990-03-23,67.64,67.64,67.64,67.65,9299000.0,68.2181,68.2181
1990-03-26,67.68,67.68,67.68,67.69,8281000.0,68.2763,68.2763
1990-03-27,68.2,68.2,68.2,68.21,13177600.0,68.8181,68.8181
1990-03-28,68.55,68.55,68.55,68.56,14529100.0,69.1889,69.1889
1990-03-29,68.22,68.22,68.22,68.23,11853700.0,68.8558,68.8558
1990-03-30,68.02,68.02,68.02,68.03,13099700.0,68.6674,68.6674
1990-04-02,67.48,67.48,67.48,67.49,11440800.0,68.1647,68.1647
1990-04-03,68.29,68.29,68.29,68.3,11556400.0,68.9828,68.9828
1990-04-04,67.82,67.82,67.82,67.83,12118200.0,68.5248,68.5248
1990-04-05,67.07,67.07,67.07,67.08,14821600.0,67.7838,67.7838
1990-04-06,66.2,66.2,66.2,66.21,19368300.0,66.9047,66.9047
1990-04-09,66.98,66.98,66.98,66.99,12511600.0,67.6929,67.6929
1990-04-10,67.67,67.67,67.67,67.68,11710900.0,68.3901,68.3901
1990-04-11,68.1,68.1,68.1,68.11,12429500.0,68.8246,68.8246
1990-04-12,68.89,68.89,68.89,68.9,13727400.0,69.6314,69.6314
1990-04-16,68.84,68.84,68.84,68.85,15038300.0,69.5809,69.5809
1990-04-17,69.18,69.18,69.18,69.19,13433600.0,69.9245,69.9245
1990-04-18,68.34,68.34,68.34,68.35,11949100.0,69.0756,69.0756
1990-04-19,67.62,67.62,67.62,67.63,12367600.0,68.348,68.348
1990-04-20,66.58,66.58,66.58,66.59,15490800.0,67.2969,67.2969
1990-04-23,65.65,65.65,65.65,65.66,15856700.0,66.3855,66.3855
1990-04-24,65.27,65.27,65.27,65.28,12959100.0,66.054,66.054
1990-04-25,65.47,65.47,65.47,65.48,11512900.0,66.2822,66.2822
1990-04-26,65.39,65.39,65.39,65.4,11791600.0,66.2012,66.2012
1990-04-27,64.69,64.69,64.69,64.7,12640400.0,65.4926,65.4926
1990-04-30,64.98,64.98,64.98,64.99,12639000.0,65.8032,65.8032
1990-05-01,65.3,65.3,65.3,65.31,18908300.0,66.1306,66.1306
1990-05-02,65.99,65.99,65.99,66.0,16921200.0,66.8373,66.8373
1990-05-03,66.02,66.02,66.02,66.03,15889100.0,66.8676,66.8676
1990-05-04,66.8,66.8,66.8,66.81,15024800.0,67.6575,67.6575
1990-05-07,67.3,67.3,67.3,67.31,15286400.0,68.1639,68.1639
1990-05-08,67.68,67.68,67.68,67.69,14070600.0,68.5496,68.5496
1990-05-09,67.68,67.68,67.68,67.69,13164600.0,68.5519,68.5519
1990-05-10,67.89,67.89,67.89,67.9,12638800.0,68.8005,68.8005
1990-05-11,69.7,69.7,69.7,69.71,23283400.0,70.6345,70.6345
1990-05-14,70.57,70.57,70.57,70.58,24170700.0,71.5214,71.5214
1990-05-15,71.14,71.14,71.14,71.15,15614500.0,72.099,72.099
1990-05-16,70.95,70.95,70.95,70.96,11742900.0,71.9256,71.9256
1990-05-17,71.05,71.05,71.05,71.06,12968700.0,72.0269,72.0269
1990-05-18,71.05,71.05,71.05,71.06,10507300.0,72.0269,72.0269
1990-05-21,71.63,71.63,71.63,71.65,11129300.0,72.625,72.625
1990-05-22,71.62,71.62,71.62,71.63,14870900.0,72.6047,72.6047
1990-05-23,72.09,72.09,72.09,72.1,12892400.0,73.0811,73.0811
1990-05-24,72.33,72.33,72.33,72.34,10239800.0,73.3351,73.3351
1990-05-25,71.65,71.65,71.65,71.67,9296500.0,72.712,72.712
1990-05-29,72.45,72.45,72.45,72.46,11039500.0,73.5314,73.5314
1990-05-30,72.56,72.56,72.56,72.57,17110400.0,73.643,73.643
1990-05-31,72.88,72.88,72.88,72.89,12742400.0,73.9678,73.9678
1990-06-01,73.96,73.96,73.96,73.97,19340600.0,75.0637,75.0637
1990-06-04,75.74,75.74,75.74,75.75,21658000.0,76.9047,76.9047
1990-06-05,76.38,76.38,76.38,76.39,23228300.0,77.5622,77.5622
1990-06-06,75.77,75.77,75.77,75.78,15352300.0,76.965,76.965
1990-06-07,75.29,75.29,75.29,75.3,12062500.0,76.4775,76.4775
1990-06-08,74.07,74.07,74.07,74.08,11407700.0,75.2384,75.2384
1990-06-11,74.4,74.4,74.4,74.41,8681700.0,75.64,75.64
1990-06-12,74.78,74.78,74.78,74.79,11664300.0,76.0335,76.0335
1990-06-13,74.03,74.03,74.03,74.04,13182200.0,75.2711,75.2711
1990-06-14,72.83,72.83,72.83,72.84,13522500.0,74.0511,74.0511
1990-06-15,72.73,72.73,72.73,72.74,17018800.0,73.9576,73.9576
1990-06-18,71.25,71.25,71.25,71.26,10664200.0,72.4529,72.4529
1990-06-19,71.46,71.46,71.46,71.47,11088700.0,72.7329,72.7329
1990-06-20,70.91,70.91,70.91,70.92,12198200.0,72.1732,72.1732
1990-06-21,71.1,71.1,71.1,71.11,10755800.0,72.3666,72.3666
1990-06-22,70.25,70.25,70.25,70.26,15536000.0,71.5015,71.5015
1990-06-25,69.36,69.36,69.36,69.37,12731800.0,70.6138,70.6138
1990-06-26,69.26,69.26,69.26,69.27,11685500.0,70.5312,70.5312
1990-06-27,69.78,69.78,69.78,69.79,10015500.0,71.0783,71.0783
1990-06-28,70.26,70.26,70.26,70.27,8912200.0,71.5807,71.5807
1990-06-29,70.41,70.41,70.41,70.42,11175300.0,71.7793,71.7793
1990-07-02,70.59,70.59,70.59,70.6,8016300.0,71.9627,71.9627
1990-07-03,70.39,70.39,70.39,70.4,8427200.0,71.7757,71.7757
1990-07-05,69.39,69.39,69.39,69.4,9614100.0,70.7735,70.7735
1990-07-06,69.93,69.93,69.93,69.94,7888300.0,71.3242,71.3242
1990-07-09,69.92,69.92,69.92,69.93,6840100.0,71.314,71.314
1990-07-10,69.0,69.0,69.0,69.01,10819300.0,70.3758,70.3758
1990-07-11,69.6,69.6,69.6,69.61,11704000.0,70.9877,70.9877
1990-07-12,69.88,69.88,69.88,69.89,18013400.0,71.2732,71.2732
1990-07-13,70.23,70.23,70.23,70.25,16873500.0,71.6404,71.6404
1990-07-16,70.84,70.84,70.84,70.85,13311400.0,72.2616,72.2616
1990-07-17,71.05,71.05,71.05,71.06,14598200.0,72.4757,72.4757
1990-07-18,70.6,70.6,70.6,70.61,12862100.0,72.0168,72.0168
1990-07-19,70.18,70.18,70.18,70.19,14705400.0,71.5884,71.5884
1990-07-20,69.36,69.36,69.36,69.37,14870000.0,70.7521,70.7521
1990-07-23,68.27,68.27,68.27,68.28,18389400.0,69.6689,69.6689
1990-07-24,67.73,67.73,67.73,67.74,13340800.0,69.1226,69.1226
1990-07-25,68.06,68.06,68.06,68.07,15510600.0,69.4981,69.4981
1990-07-26,67.96,67.96,67.96,67.97,14824100.0,69.4219,69.4219
1990-07-27,67.33,67.33,67.33,67.34,15617000.0,68.7785,68.7785
1990-07-30,67.4,67.4,67.4,67.41,9767800.0,68.8695,68.8695
1990-07-31,67.0,67.0,67.0,67.01,14027300.0,68.4649,68.4649
1990-08-01,65.83,65.83,65.83,65.84,21261500.0,67.3046,67.3046
1990-08-02,64.45,64.45,64.45,64.46,18643400.0,65.8939,65.8939
1990-08-03,63.26,63.26,63.26,63.27,23587000.0,64.6774,64.6774
1990-08-06,61.32,61.32,61.32,61.33,20528300.0,62.7034,62.7034
1990-08-07,61.97,61.97,61.97,61.98,18875900.0,63.3679,63.3679
1990-08-08,62.79,62.79,62.79,62.8,14016600.0,64.2143,64.2143
1990-08-09,63.22,63.22,63.22,63.23,12056200.0,64.6572,64.6572
1990-08-10,62.65,62.65,62.65,62.66,11456100.0,64.0743,64.0743
1990-08-13,62.74,62.74,62.74,62.75,10196700.0,64.1716,64.1716
1990-08-14,62.81,62.81,62.81,62.82,9179600.0,64.2432,64.2432
1990-08-15,62.92,62.92,62.92,62.93,9694300.0,64.3556,64.3556
1990-08-16,61.09,61.09,61.09,61.1,11854300.0,62.5036,62.5036
1990-08-17,59.97,59.97,59.97,59.98,18461400.0,61.3579,61.3579
1990-08-20,59.72,59.72,59.72,59.73,10648900.0,61.1022,61.1022
1990-08-21,58.28,58.28,58.28,58.29,16513400.0,59.6291,59.6291
1990-08-22,57.34,57.34,57.34,57.35,15136000.0,58.6675,58.6675
1990-08-23,55.86,55.86,55.86,55.87,22290900.0,57.1535,57.1535
1990-08-24,56.6,56.6,56.6,56.61,17917000.0,57.9105,57.9105
1990-08-27,58.45,58.45,58.45,58.46,13965400.0,59.8347,59.8347
1990-08-28,58.13,58.13,58.13,58.14,11708500.0,59.5239,59.5239
1990-08-29,58.62,58.62,58.62,58.62,12423300.0,60.0203,60.0203
1990-08-30,57.85,57.85,57.85,57.86,10099600.0,59.2422,59.2422
1990-08-31,58.61,58.61,58.61,58.62,7368500.0,60.0889,60.0889
1990-09-04,58.61,58.61,58.61,58.62,8628900.0,60.0966,60.0966
1990-09-05,58.77,58.77,58.77,58.78,7671100.0,60.2606,60.2606
1990-09-06,58.05,58.05,58.05,58.05,8949000.0,59.5342,59.5342
1990-09-07,58.7,58.7,58.7,58.71,10354400.0,60.211,60.211
1990-09-10,58.42,58.42,58.42,58.42,9389300.0,59.9737,59.9737
1990-09-11,57.71,57.71,57.71,57.72,9951800.0,59.262,59.262
1990-09-12,57.79,57.79,57.79,57.8,9881400.0,59.3442,59.3442
1990-09-13,56.84,56.84,56.84,56.85,12087000.0,58.3688,58.3688
1990-09-14,56.07,56.07,56.07,56.08,14086600.0,57.5782,57.5782
1990-09-17,55.98,55.98,55.98,55.99,10336200.0,57.5188,57.5188
1990-09-18,55.68,55.68,55.68,55.69,17267500.0,57.2544,57.2544
1990-09-19,55.19,55.19,55.19,55.2,15966000.0,56.7506,56.7506
1990-09-20,53.8,53.8,53.8,53.8,14704500.0,55.3113,55.3113
1990-09-21,53.19,53.19,53.19,53.2,21124600.0,54.6944,54.6944
1990-09-24,51.26,51.26,51.26,51.27,20822900.0,52.7269,52.7269
1990-09-25,51.89,51.89,51.89,51.9,16634600.0,53.3937,53.3937
1990-09-26,50.49,50.49,50.49,50.5,15509000.0,51.971,51.971
1990-09-27,48.68,48.68,48.68,48.68,28268500.0,50.098,50.098
1990-09-28,51.01,51.01,51.01,51.02,27209700.0,52.5062,52.5062
1990-10-01,52.76,52.76,52.76,52.76,20371900.0,54.3574,54.3574
1990-10-02,52.44,52.44,52.44,52.45,19103600.0,54.0407,54.0407
1990-10-03,51.17,51.17,51.17,51.17,13116200.0,52.7385,52.7385
1990-10-04,51.58,51.58,51.58,51.59,14977600.0,53.1889,53.1889
1990-10-05,50.93,50.93,50.93,50.94,18188500.0,52.5188,52.5188
1990-10-08,50.89,50.89,50.89,50.89,12667700.0,52.4672,52.4672
1990-10-09,49.32,49.32,49.32,49.32,16445100.0,50.8485,50.8485
1990-10-10,48.43,48.43,48.43,48.43,17638300.0,49.931,49.931
1990-10-11,47.2,47.2,47.2,47.2,19905900.0,48.6628,48.6628
1990-10-12,48.33,48.33,48.33,48.33,20861400.0,49.8279,49.8279
1990-10-15,48.99,48.99,48.99,48.99,15356400.0,50.5083,50.5083
1990-10-16,47.84,47.84,47.84,47.84,20164000.0,49.3321,49.3321
1990-10-17,47.42,47.42,47.42,47.42,28643800.0,48.899,48.899
1990-10-18,48.73,48.73,48.73,48.73,28203000.0,50.2499,50.2499
1990-10-19,49.79,49.79,49.79,49.79,28101800.0,51.3429,51.3429
1990-10-22,50.52,50.52,50.52,50.52,17054600.0,52.1239,52.1239
1990-10-23,50.08,50.08,50.08,50.08,17845900.0,51.6756,51.6756
1990-10-24,50.08,50.08,50.08,50.08,23799400.0,51.6756,51.6756
1990-10-25,49.41,49.41,49.41,49.41,18860000.0,51.0326,51.0326
1990-10-26,47.56,47.56,47.56,47.56,23359900.0,49.1218,49.1218
1990-10-29,46.29,46.29,46.29,46.29,16157100.0,47.8196,47.8196
1990-10-30,46.71,46.71,46.71,46.71,20639500.0,48.2675,48.2675
1990-10-31,46.74,46.74,46.74,46.74,20012500.0,48.2985,48.2985
1990-11-01,47.76,47.76,47.76,47.76,21905200.0,49.3875,49.3875
1990-11-02,50.23,50.23,50.23,50.23,26614300.0,51.9417,51.9417
1990-11-05,51.48,51.48,51.48,51.48,20495400.0,53.2429,53.2429
1990-11-06,50.83,50.83,50.83,50.83,15556000.0,52.5786,52.5786
1990-11-07,50.12,50.12,50.12,50.12,16151900.0,51.8442,51.8442
1990-11-08,50.78,50.78,50.78,50.78,16880500.0,52.5291,52.5291
1990-11-09,52.08,52.08,52.08,52.08,18809800.0,53.88,53.88
1990-11-12,54.58,54.58,54.58,54.58,24381800.0,56.4665,56.4665
1990-11-13,54.66,54.66,54.66,54.66,21497200.0,56.5492,56.5492
1990-11-14,55.35,55.35,55.35,55.35,24706300.0,57.2631,57.2631
1990-11-15,54.65,54.65,54.65,54.65,18043100.0,56.5389,56.5389
1990-11-16,54.65,54.65,54.65,54.66,16068600.0,56.5687,56.5687
1990-11-19,54.71,54.71,54.71,54.71,15329900.0,56.6205,56.6205
