Date,S5HLTH.open,S5HLTH.high,S5HLTH.low,S5HLTH.close,S5HLTH.volume,S5HLTH.total_ret_index_gross_dvd,S5HLTH.total_ret_index_net_dvd
1989-09-11,66.34,66.34,66.34,66.34,,66.34,66.34
1989-09-12,66.29,66.29,66.29,66.29,,66.29,66.29
1989-09-13,65.81,65.81,65.81,65.81,,65.81,65.81
1989-09-14,65.23,65.23,65.23,65.23,,65.23,65.23
1989-09-15,65.7,65.7,65.7,65.7,,65.7,65.7
1989-09-18,66.16,66.16,66.16,66.16,,66.16,66.16
1989-09-19,66.17,66.17,66.17,66.17,,66.17,66.17
1989-09-20,66.36,66.36,66.36,66.36,,66.36,66.36
1989-09-21,66.08,66.08,66.08,66.08,,66.08,66.08
1989-09-22,66.31,66.31,66.31,66.31,,66.31,66.31
1989-09-25,65.94,65.94,65.94,65.94,,65.94,65.94
1989-09-26,65.82,65.82,65.82,65.82,,65.82,65.82
1989-09-27,66.88,66.88,66.88,66.88,,66.88,66.88
1989-09-28,68.3,68.3,68.3,68.3,,68.3,68.3
1989-09-29,68.33,68.33,68.33,68.33,,68.33,68.33
1989-10-02,68.39,68.39,68.39,68.39,,68.39,68.39
1989-10-03,69.55,69.55,69.55,69.55,,69.55,69.55
1989-10-04,70.16,70.16,70.16,70.16,,70.16,70.16
1989-10-05,70.24,70.24,70.24,70.24,,70.24,70.24
1989-10-06,70.67,70.67,70.67,70.67,,70.67,70.67
1989-10-09,70.92,70.92,70.92,70.92,,70.92,70.92
1989-10-10,70.97,70.97,70.97,70.97,,70.97,70.97
1989-10-11,70.62,70.62,70.62,70.62,,70.62,70.62
1989-10-12,69.94,69.94,69.94,69.94,,69.94,69.94
1989-10-13,65.42,65.42,65.42,65.42,,65.42,65.42
1989-10-16,67.72,67.72,67.72,67.72,,67.72,67.72
1989-10-17,67.81,67.81,67.81,67.81,,67.81,67.81
1989-10-18,68.01,68.01,68.01,68.01,,68.01,68.01
1989-10-19,69.41,69.41,69.41,69.41,,69.41,69.41
1989-10-20,69.22,69.22,69.22,69.22,,69.22,69.22
1989-10-23,69.09,69.09,69.09,69.09,,69.09,69.09
1989-10-24,69.08,69.08,69.08,69.08,,69.08,69.08
1989-10-25,69.04,69.04,69.04,69.04,,69.04,69.04
1989-10-26,68.31,68.31,68.31,68.31,,68.31,68.31
1989-10-27,67.29,67.29,67.29,67.29,,67.29,67.29
1989-10-30,67.46,67.46,67.46,67.46,,67.46,67.46
1989-10-31,68.8,68.8,68.8,68.8,,68.8,68.8
1989-11-01,69.4,69.4,69.4,69.4,,69.4,69.4
1989-11-02,69.11,69.11,69.11,69.11,,69.11,69.11
1989-11-03,68.83,68.83,68.83,68.83,,68.83,68.83
1989-11-06,67.76,67.76,67.76,67.76,,67.76,67.76
1989-11-07,68.42,68.42,68.42,68.42,,68.42,68.42
1989-11-08,69.61,69.61,69.61,69.61,,69.61,69.61
1989-11-09,69.81,69.81,69.81,69.81,,69.81,69.81
1989-11-10,70.91,70.91,70.91,70.91,,70.91,70.91
1989-11-13,69.93,69.93,69.93,69.93,,69.93,69.93
1989-11-14,69.28,69.28,69.28,69.28,,69.28,69.28
1989-11-15,70.12,70.12,70.12,70.12,,70.12,70.12
1989-11-16,70.04,70.04,70.04,70.04,,70.04,70.04
1989-11-17,70.12,70.12,70.12,70.12,,70.12,70.12
1989-11-20,70.03,70.03,70.03,70.03,,70.03,70.03
1989-11-21,70.18,70.18,70.18,70.18,,70.18,70.18
1989-11-22,71.48,71.48,71.48,71.48,,71.48,71.48
1989-11-24,72.19,72.19,72.19,72.19,,72.19,72.19
1989-11-27,72.35,72.35,72.35,72.35,,72.35,72.35
1989-11-28,72.11,72.11,72.11,72.11,,72.11,72.11
