Date,S5INDU.open,S5INDU.high,S5INDU.low,S5INDU.close,S5INDU.volume,S5INDU.total_ret_index_gross_dvd,S5INDU.total_ret_index_net_dvd
1989-09-11,75.41,75.41,75.41,75.41,,75.41,75.41
1989-09-12,75.64,75.64,75.64,75.64,,75.64,75.64
1989-09-13,74.9,74.9,74.9,74.9,,74.9,74.9
1989-09-14,74.37,74.37,74.37,74.37,,74.37,74.37
1989-09-15,74.9,74.9,74.9,74.9,,74.9,74.9
1989-09-18,75.16,75.16,75.16,75.16,,75.16,75.16
1989-09-19,75.09,75.09,75.09,75.09,,75.09,75.09
1989-09-20,74.96,74.96,74.96,74.96,,74.96,74.96
1989-09-21,74.79,74.79,74.79,74.79,,74.79,74.79
1989-09-22,74.86,74.86,74.86,74.86,,74.86,74.86
1989-09-25,74.27,74.27,74.27,74.27,,74.27,74.27
1989-09-26,74.22,74.22,74.22,74.22,,74.22,74.22
1989-09-27,74.59,74.59,74.59,74.59,,74.59,74.59
1989-09-28,75.38,75.38,75.38,75.38,,75.38,75.38
1989-09-29,75.36,75.36,75.36,75.36,,75.36,75.36
1989-10-02,75.87,75.87,75.87,75.87,,75.87,75.87
1989-10-03,76.71,76.71,76.71,76.71,,76.71,76.71
1989-10-04,77.05,77.05,77.05,77.05,,77.05,77.05
1989-10-05,77.21,77.21,77.21,77.21,,77.21,77.21
1989-10-06,77.4,77.4,77.4,77.4,,77.4,77.4
1989-10-09,77.49,77.49,77.49,77.49,,77.49,77.49
1989-10-10,77.48,77.48,77.48,77.48,,77.48,77.48
1989-10-11,77.0,77.0,77.0,77.0,,77.0,77.0
1989-10-12,76.74,76.74,76.74,76.74,,76.74,76.74
1989-10-13,72.02,72.02,72.02,72.02,,72.02,72.02
1989-10-16,73.29,73.29,73.29,73.29,,73.29,73.29
1989-10-17,72.59,72.59,72.59,72.59,,72.59,72.59
1989-10-18,72.53,72.53,72.53,72.53,,72.53,72.53
1989-10-19,73.43,73.43,73.43,73.43,,73.43,73.43
1989-10-20,73.35,73.35,73.35,73.35,,73.35,73.35
1989-10-23,72.86,72.86,72.86,72.86,,72.86,72.86
1989-10-24,72.57,72.57,72.57,72.57,,72.57,72.57
1989-10-25,72.03,72.03,72.03,72.03,,72.03,72.03
1989-10-26,71.09,71.09,71.09,71.09,,71.09,71.09
1989-10-27,70.26,70.26,70.26,70.26,,70.26,70.26
1989-10-30,70.41,70.41,70.41,70.41,,70.41,70.41
1989-10-31,71.53,71.53,71.53,71.53,,71.53,71.53
1989-11-01,71.59,71.59,71.59,71.59,,71.59,71.59
