Date,S5MATR.open,S5MATR.high,S5MATR.low,S5MATR.close,S5MATR.volume,S5MATR.total_ret_index_gross_dvd,S5MATR.total_ret_index_net_dvd
1989-09-11,80.03,80.03,80.03,80.03,,80.03,80.03
1989-09-12,80.09,80.09,80.09,80.09,,80.09,80.09
1989-09-13,79.4,79.4,79.4,79.4,,79.4,79.4
1989-09-14,78.88,78.88,78.88,78.88,,78.88,78.88
1989-09-15,79.11,79.11,79.11,79.11,,79.11,79.11
1989-09-18,79.2,79.2,79.2,79.2,,79.2,79.2
1989-09-19,79.06,79.06,79.06,79.06,,79.06,79.06
1989-09-20,79.23,79.23,79.23,79.23,,79.23,79.23
1989-09-21,78.82,78.82,78.82,78.82,,78.82,78.82
1989-09-22,78.91,78.91,78.91,78.91,,78.91,78.91
1989-09-25,78.32,78.32,78.32,78.32,,78.32,78.32
1989-09-26,78.05,78.05,78.05,78.05,,78.05,78.05
1989-09-27,78.15,78.15,78.15,78.15,,78.15,78.15
1989-09-28,78.55,78.55,78.55,78.55,,78.55,78.55
1989-09-29,78.8,78.8,78.8,78.8,,78.8,78.8
1989-10-02,79.52,79.52,79.52,79.52,,79.52,79.52
1989-10-03,80.44,80.44,80.44,80.44,,80.44,80.44
1989-10-04,80.72,80.72,80.72,80.72,,80.72,80.72
1989-10-05,80.25,80.25,80.25,80.25,,80.25,80.25
1989-10-06,80.01,80.01,80.01,80.01,,80.01,80.01
1989-10-09,79.96,79.96,79.96,79.96,,79.96,79.96
1989-10-10,79.94,79.94,79.94,79.94,,79.94,79.94
1989-10-11,79.34,79.34,79.34,79.34,,79.34,79.34
1989-10-12,79.07,79.07,79.07,79.07,,79.07,79.07
1989-10-13,74.28,74.28,74.28,74.28,,74.28,74.28
1989-10-16,75.62,75.62,75.62,75.62,,75.62,75.62
1989-10-17,74.76,74.76,74.76,74.76,,74.76,74.76
1989-10-18,74.95,74.95,74.95,74.95,,74.95,74.95
1989-10-19,75.97,75.97,75.97,75.97,,75.97,75.97
1989-10-20,75.56,75.56,75.56,75.56,,75.56,75.56
1989-10-23,74.74,74.74,74.74,74.74,,74.74,74.74
1989-10-24,74.09,74.09,74.09,74.09,,74.09,74.09
1989-10-25,73.92,73.92,73.92,73.92,,73.92,73.92
1989-10-26,73.14,73.14,73.14,73.14,,73.14,73.14
1989-10-27,72.94,72.94,72.94,72.94,,72.94,72.94
1989-10-30,72.9,72.9,72.9,72.9,,72.9,72.9
1989-10-31,74.48,74.48,74.48,74.48,,74.48,74.48
1989-11-01,74.52,74.52,74.52,74.52,,74.52,74.52
1989-11-02,74.24,74.24,74.24,74.24,,74.24,74.24
1989-11-03,74.1,74.1,74.1,74.1,,74.1,74.1
1989-11-06,73.0,73.0,73.0,73.0,,73.0,73.0
1989-11-07,73.41,73.41,73.41,73.41,,73.41,73.41
1989-11-08,73.64,73.64,73.64,73.64,,73.64,73.64
1989-11-09,72.93,72.93,72.93,72.93,,72.93,72.93
1989-11-10,73.37,73.37,73.37,73.37,,73.37,73.37
1989-11-13,73.82,73.82,73.82,73.82,,73.82,73.82
1989-11-14,73.67,73.67,73.67,73.67,,73.67,73.67
1989-11-15,74.05,74.05,74.05,74.05,,74.05,74.05
1989-11-16,74.06,74.06,74.06,74.06,,74.06,74.06
1989-11-17,74.2,74.2,74.2,74.2,,74.2,74.2
1989-11-20,73.89,73.89,73.89,73.89,,73.89,73.89
1989-11-21,74.14,74.14,74.14,74.14,,74.14,74.14
1989-11-22,74.34,74.34,74.34,74.34,,74.34,74.34
1989-11-24,74.84,74.84,74.84,74.84,,74.84,74.84
1989-11-27,75.4,75.4,75.4,75.4,,75.4,75.4
1989-11-28,75.91,75.91,75.91,75.91,,75.91,75.91
1989-11-29,75.72,75.72,75.72,75.72,,75.72,75.72
1989-11-30,75.94,75.94,75.94,75.94,,75.94,75.94
1989-12-01,76.83,76.83,76.83,76.83,,76.83,76.83
1989-12-04,76.94,76.94,76.94,76.94,,76.94,76.94
1989-12-05,76.63,76.63,76.63,76.63,,76.63,76.63
1989-12-06,76.48,76.48,76.48,76.48,,76.48,76.48
1989-12-07,76.59,76.59,76.59,76.59,,76.59,76.59
1989-12-08,76.91,76.91,76.91,76.91,,76.91,76.91
1989-12-11,76.84,76.84,76.84,76.84,,76.84,76.84
1989-12-12,77.33,77.33,77.33,77.33,,77.33,77.33
1989-12-13,77.5,77.5,77.5,77.5,,77.5,77.5
1989-12-14,77.43,77.43,77.43,77.43,,77.43,77.43
1989-12-15,77.43,77.43,77.43,77.43,,77.43,77.43
1989-12-18,76.48,76.48,76.48,76.48,,76.48,76.48
1989-12-19,76.16,76.16,76.16,76.16,,76.16,76.16
1989-12-20,76.15,76.15,76.15,76.15,,76.15,76.15
1989-12-21,76.64,76.64,76.64,76.64,,76.64,76.64
1989-12-22,77.06,77.06,77.06,77.06,,77.06,77.06
1989-12-26,76.81,76.81,76.81,76.81,,76.81,76.81
1989-12-27,77.48,77.48,77.48,77.48,,77.48,77.48
1989-12-28,77.65,77.65,77.65,77.65,,77.65,77.65
1989-12-29,78.08,78.08,78.08,78.08,,78.08,78.08
1990-01-02,79.88,79.88,79.88,79.88,,79.88,79.88
1990-01-03,80.17,80.17,80.17,80.17,,80.17,80.17
1990-01-04,79.92,79.92,79.92,79.92,,79.92,79.92
1990-01-05,79.59,79.59,79.59,79.59,,79.5932,79.5932
1990-01-08,79.61,79.61,79.61,79.61,,79.6132,79.6132
1990-01-09,78.99,78.99,78.99,78.99,,78.9932,78.9932
1990-01-10,78.77,78.77,78.77,78.77,,78.7783,78.7783
1990-01-11,79.15,79.15,79.15,79.15,,79.1583,79.1583
1990-01-12,77.24,77.24,77.24,77.24,,77.2481,77.2481
1990-01-15,76.17,76.17,76.17,76.17,,76.178,76.178
1990-01-16,76.74,76.74,76.74,76.74,,76.7481,76.7481
1990-01-17,75.66,75.66,75.66,75.66,,75.6679,75.6679
1990-01-18,75.47,75.47,75.47,75.47,,75.4779,75.4779
1990-01-19,75.2,75.2,75.2,75.2,,75.2079,75.2079
1990-01-22,73.08,73.08,73.08,73.08,,73.0877,73.0877
1990-01-23,73.58,73.58,73.58,73.58,,73.5877,73.5877
1990-01-24,72.95,72.95,72.95,72.95,,72.9577,72.9577
1990-01-25,71.74,71.74,71.74,71.74,,71.7475,71.7475
1990-01-26,71.86,71.86,71.86,71.86,,71.88,71.88
1990-01-29,71.58,71.58,71.58,71.58,,71.6915,71.6915
1990-01-30,71.25,71.25,71.25,71.25,,71.3682,71.3682
1990-01-31,72.01,72.01,72.01,72.01,13024200.0,72.1315,72.1315
1990-02-01,71.72,71.72,71.72,71.72,9546900.0,71.8556,71.8556
1990-02-02,72.02,72.02,72.02,72.02,10163900.0,72.1617,72.1617
1990-02-05,72.2,72.2,72.2,72.2,22966800.0,72.3695,72.3695
1990-02-06,71.75,71.75,71.75,71.75,8230400.0,71.9288,71.9288
1990-02-07,72.34,72.34,72.34,72.34,11700900.0,72.5203,72.5203
1990-02-08,72.0,72.0,72.0,72.0,10340600.0,72.183,72.183
1990-02-09,72.39,72.39,72.39,72.39,19863700.0,72.7032,72.7032
1990-02-12,71.62,71.62,71.62,71.62,8002900.0,71.966,71.966
1990-02-13,71.63,71.63,71.63,71.63,9885200.0,72.0038,72.0038
1990-02-14,71.92,71.92,71.92,71.92,12234700.0,72.2953,72.2953
1990-02-15,72.18,72.18,72.18,72.18,9705500.0,72.5881,72.5881
1990-02-16,72.35,72.35,72.35,72.35,12122700.0,72.7782,72.7782
1990-02-20,71.49,71.49,71.49,71.49,11233800.0,71.9241,71.9241
1990-02-21,71.15,71.15,71.15,71.15,11011100.0,71.582,71.582
1990-02-22,71.12,71.12,71.12,71.12,12276000.0,71.5697,71.5697
1990-02-23,70.9,70.9,70.9,70.9,9778900.0,71.3537,71.3537
1990-02-26,71.55,71.55,71.55,71.55,12185600.0,72.0371,72.0371
1990-02-27,71.77,71.77,71.77,71.77,10908900.0,72.2676,72.2676
1990-02-28,72.44,72.44,72.44,72.44,14679000.0,72.9423,72.9423
1990-03-01,73.03,73.03,73.03,73.03,14881200.0,73.5413,73.5413
1990-03-02,73.64,73.64,73.64,73.64,14532800.0,74.1556,74.1556
1990-03-05,73.23,73.23,73.23,73.23,9941400.0,73.7843,73.7843
1990-03-06,74.07,74.07,74.07,74.07,9269700.0,74.6307,74.6307
1990-03-07,73.66,73.66,73.66,73.66,13635200.0,74.2244,74.2244
1990-03-08,74.53,74.53,74.53,74.53,10032000.0,75.101,75.101
1990-03-09,73.88,73.88,73.88,73.88,8201500.0,74.4536,74.4536
1990-03-12,74.27,74.27,74.27,74.27,6377700.0,74.864,74.864
1990-03-13,73.45,73.45,73.45,73.45,9923400.0,74.0375,74.0375
1990-03-14,73.49,73.49,73.49,73.49,10805800.0,74.0828,74.0828
1990-03-15,74.01,74.01,74.01,74.01,9768400.0,74.607,74.607
1990-03-16,75.05,75.05,75.05,75.05,18051000.0,75.6553,75.6553
1990-03-19,75.5,75.5,75.5,75.5,11328100.0,76.109,76.109
1990-03-20,74.87,74.87,74.87,74.87,11934800.0,75.4739,75.4739
1990-03-21,74.4,74.4,74.4,74.4,10195900.0,75.0001,75.0001
1990-03-22,73.49,73.49,73.49,73.49,11575500.0,74.0828,74.0828
1990-03-23,73.64,73.64,73.64,73.64,8406800.0,74.234,74.234
1990-03-26,73.35,73.35,73.35,73.35,9946800.0,74.0228,74.0228
1990-03-27,73.84,73.84,73.84,73.84,8795400.0,74.5173,74.5173
1990-03-28,74.13,74.13,74.13,74.13,11811600.0,74.8099,74.8099
1990-03-29,73.96,73.96,73.96,73.96,12499500.0,74.6384,74.6384
1990-03-30,73.57,73.57,73.57,73.57,11846300.0,74.2525,74.2525
1990-04-02,73.28,73.28,73.28,73.28,11457500.0,73.9598,73.9598
1990-04-03,74.14,74.14,74.14,74.14,12157500.0,74.8278,74.8278
1990-04-04,73.48,73.48,73.48,73.48,11993500.0,74.1617,74.1617
1990-04-05,73.28,73.28,73.28,73.28,9597000.0,73.9631,73.9631
1990-04-06,73.26,73.26,73.26,73.26,10722800.0,73.9429,73.9429
1990-04-09,73.2,73.2,73.2,73.2,6090600.0,73.8875,73.8875
1990-04-10,73.33,73.33,73.33,73.33,8381700.0,74.0187,74.0187
1990-04-11,73.21,73.21,73.21,73.21,9096900.0,73.8976,73.8976
1990-04-12,73.47,73.47,73.47,73.47,9863600.0,74.16,74.16
1990-04-16,73.17,73.17,73.17,73.17,9957700.0,73.8572,73.8572
1990-04-17,73.08,73.08,73.08,73.08,8878900.0,73.7664,73.7664
1990-04-18,72.32,72.32,72.32,72.32,11481100.0,72.9992,72.9992
1990-04-19,71.6,71.6,71.6,71.6,11707700.0,72.2725,72.2725
1990-04-20,70.58,70.58,70.58,70.58,13826300.0,71.2429,71.2429
1990-04-23,69.58,69.58,69.58,69.58,9786000.0,70.2335,70.2335
1990-04-24,69.36,69.36,69.36,69.36,9755700.0,70.0114,70.0114
1990-04-25,69.8,69.8,69.8,69.8,9630500.0,70.4667,70.4667
1990-04-26,70.49,70.49,70.49,70.49,11514400.0,71.1633,71.1633
1990-04-27,69.91,69.91,69.91,69.91,8597000.0,70.5903,70.5903
1990-04-30,69.91,69.91,69.91,69.91,7970400.0,70.6313,70.6313
1990-05-01,69.87,69.87,69.87,69.87,8914000.0,70.5976,70.5976
1990-05-02,69.89,69.89,69.89,69.89,10178700.0,70.623,70.623
1990-05-03,70.41,70.41,70.41,70.41,10412900.0,71.1633,71.1633
1990-05-04,70.82,70.82,70.82,70.82,9664400.0,71.6148,71.6148
1990-05-07,71.42,71.42,71.42,71.42,8786800.0,72.2253,72.2253
