Date,S5TECH.open,S5TECH.high,S5TECH.low,S5TECH.close,S5TECH.volume,S5TECH.total_ret_index_gross_dvd,S5TECH.total_ret_index_net_dvd
1989-09-11,77.29,77.29,77.29,77.29,,77.29,77.29
1989-09-12,77.95,77.95,77.95,77.95,,77.95,77.95
1989-09-13,77.19,77.19,77.19,77.19,,77.19,77.19
1989-09-14,76.99,76.99,76.99,76.99,,76.99,76.99
1989-09-15,77.31,77.31,77.31,77.31,,77.31,77.31
1989-09-18,77.16,77.16,77.16,77.16,,77.16,77.16
1989-09-19,76.73,76.73,76.73,76.73,,76.73,76.73
1989-09-20,77.0,77.0,77.0,77.0,,77.0,77.0
1989-09-21,77.1,77.1,77.1,77.1,,77.1,77.1
1989-09-22,77.18,77.18,77.18,77.18,,77.18,77.18
1989-09-25,77.09,77.09,77.09,77.09,,77.09,77.09
1989-09-26,77.45,77.45,77.45,77.45,,77.45,77.45
1989-09-27,75.28,75.28,75.28,75.28,,75.28,75.28
1989-09-28,74.32,74.32,74.32,74.32,,74.32,74.32
1989-09-29,74.29,74.29,74.29,74.29,,74.29,74.29
1989-10-02,73.97,73.97,73.97,73.97,,73.97,73.97
1989-10-03,72.73,72.73,72.73,72.73,,72.73,72.73
1989-10-04,74.04,74.04,74.04,74.04,,74.04,74.04
1989-10-05,74.37,74.37,74.37,74.37,,74.37,74.37
1989-10-06,74.83,74.83,74.83,74.83,,74.83,74.83
1989-10-09,76.22,76.22,76.22,76.22,,76.22,76.22
1989-10-10,75.95,75.95,75.95,75.95,,75.95,75.95
1989-10-11,75.33,75.33,75.33,75.33,,75.33,75.33
1989-10-12,75.14,75.14,75.14,75.14,,75.14,75.14
1989-10-13,70.45,70.45,70.45,70.45,,70.45,70.45
1989-10-16,72.41,72.41,72.41,72.41,,72.41,72.41
1989-10-17,71.97,71.97,71.97,71.97,,71.97,71.97
1989-10-18,72.15,72.15,72.15,72.15,,72.15,72.15
1989-10-19,73.8,73.8,73.8,73.8,,73.8,73.8
