Date,SPX.open,SPX.high,SPX.low,SPX.close,SPX.volume,SPX.total_ret_index_gross_dvd,SPX.total_ret_index_net_dvd
1970-01-02,93.0,93.0,93.0,93.0,,93.0,93.0
1970-01-05,93.46,93.46,93.46,93.46,,93.46,93.46
1970-01-06,92.82,92.82,92.82,92.82,,92.82,92.82
1970-01-07,92.63,92.63,92.63,92.63,,92.63,92.63
1970-01-08,92.68,92.68,92.68,92.68,,92.68,92.68
1970-01-09,92.4,92.4,92.4,92.4,,92.4,92.4
1970-01-12,91.7,91.7,91.7,91.7,,91.7,91.7
1970-01-13,91.79,91.79,91.79,91.79,,91.79,91.79
1970-01-14,91.65,91.65,91.65,91.65,,91.65,91.65
1970-01-15,91.68,91.68,91.68,91.68,,91.68,91.68
1970-01-16,90.92,90.92,90.92,90.92,,90.92,90.92
1970-01-19,89.65,89.65,89.65,89.65,,89.65,89.65
1970-01-20,89.83,89.83,89.83,89.83,,89.83,89.83
1970-01-21,89.91,89.91,89.91,89.91,,89.91,89.91
1970-01-22,89.95,89.95,89.95,89.95,,89.95,89.95
1970-01-23,89.07,89.07,89.07,89.07,,89.07,89.07
1970-01-26,88.17,88.17,88.17,88.17,,88.17,88.17
1970-01-27,87.62,87.62,87.62,87.62,,87.62,87.62
1970-01-28,86.79,86.79,86.79,86.79,,86.79,86.79
1970-01-29,85.69,85.69,85.69,85.69,,85.69,85.69
1970-01-30,85.02,85.02,85.02,85.02,,85.28,85.02
1970-02-02,85.75,85.75,85.75,85.75,,86.0122,85.75
1970-02-03,86.77,86.77,86.77,86.77,,87.0354,86.77
1970-02-04,86.24,86.24,86.24,86.24,,86.5037,86.24
1970-02-05,85.9,85.9,85.9,85.9,,86.1627,85.9
1970-02-06,86.33,86.33,86.33,86.33,,86.594,86.33
1970-02-09,87.01,87.01,87.01,87.01,,87.2761,87.01
1970-02-10,86.1,86.1,86.1,86.1,,86.3633,86.1
1970-02-11,86.94,86.94,86.94,86.94,,87.2059,86.94
1970-02-12,86.73,86.73,86.73,86.73,,86.9952,86.73
1970-02-13,86.54,86.54,86.54,86.54,,86.8046,86.54
1970-02-16,86.47,86.47,86.47,86.47,,86.7344,86.47
1970-02-17,86.37,86.37,86.37,86.37,,86.6341,86.37
1970-02-18,87.44,87.44,87.44,87.44,,87.7074,87.44
1970-02-19,87.76,87.76,87.76,87.76,,88.0284,87.76
1970-02-20,88.03,88.03,88.03,88.03,,88.2992,88.03
1970-02-24,87.99,87.99,87.99,87.99,,88.2591,87.99
1970-02-25,89.35,89.35,89.35,89.35,,89.6232,89.35
1970-02-26,88.9,88.9,88.9,88.9,,89.1719,88.9
1970-02-27,89.5,89.5,89.5,89.5,,90.0345,89.5
1970-03-02,89.71,89.71,89.71,89.71,,90.2457,89.71
1970-03-03,90.23,90.23,90.23,90.23,,90.7689,90.23
1970-03-04,90.04,90.04,90.04,90.04,,90.5777,90.04
1970-03-05,90.0,90.0,90.0,90.0,,90.5375,90.0
1970-03-06,89.44,89.44,89.44,89.44,,89.9741,89.44
1970-03-09,88.51,88.51,88.51,88.51,,89.0386,88.51
1970-03-10,88.75,88.75,88.75,88.75,,89.28,88.75
1970-03-11,88.69,88.69,88.69,88.69,,89.2197,88.69
1970-03-12,88.33,88.33,88.33,88.33,,88.8575,88.33
1970-03-13,87.86,87.86,87.86,87.86,,88.3847,87.86
1970-03-16,86.91,86.91,86.91,86.91,,87.429,86.91
1970-03-17,87.29,87.29,87.29,87.29,,87.8113,87.29
1970-03-18,87.54,87.54,87.54,87.54,,88.0628,87.54
1970-03-19,87.42,87.42,87.42,87.42,,87.9421,87.42
1970-03-20,87.06,87.06,87.06,87.06,,87.5799,87.06
1970-03-23,86.99,86.99,86.99,86.99,,87.5095,86.99
1970-03-24,87.98,87.98,87.98,87.98,,88.5054,87.98
1970-03-25,89.77,89.77,89.77,89.77,,90.3061,89.77
1970-03-26,89.92,89.92,89.92,89.92,,90.457,89.92
1970-03-30,89.63,89.63,89.63,89.63,,90.1653,89.63
1970-03-31,89.63,89.63,89.63,89.63,,90.4268,89.63
1970-04-01,90.07,90.07,90.07,90.07,,90.8707,90.07
1970-04-02,89.79,89.79,89.79,89.79,,90.5882,89.79
1970-04-03,89.39,89.39,89.39,89.39,,90.1847,89.39
1970-04-06,88.76,88.76,88.76,88.76,,89.5491,88.76
1970-04-07,88.52,88.52,88.52,88.52,,89.307,88.52
1970-04-08,88.49,88.49,88.49,88.49,,89.2767,88.49
1970-04-09,88.53,88.53,88.53,88.53,,89.317,88.53
1970-04-10,88.24,88.24,88.24,88.24,,89.0245,88.24
1970-04-13,87.64,87.64,87.64,87.64,,88.4191,87.64
1970-04-14,86.89,86.89,86.89,86.89,,87.6625,86.89
1970-04-15,86.73,86.73,86.73,86.73,,87.501,86.73
1970-04-16,85.88,85.88,85.88,85.88,,86.6435,85.88
1970-04-17,85.67,85.67,85.67,85.67,,86.4316,85.67
1970-04-20,85.83,85.83,85.83,85.83,,86.593,85.83
1970-04-21,85.38,85.38,85.38,85.38,,86.139,85.38
1970-04-22,84.27,84.27,84.27,84.27,,85.0192,84.27
1970-04-23,83.04,83.04,83.04,83.04,,83.7782,83.04
1970-04-24,82.77,82.77,82.77,82.77,,83.5058,82.77
1970-04-27,81.46,81.46,81.46,81.46,,82.1842,81.46
1970-04-28,80.27,80.27,80.27,80.27,,80.9836,80.27
1970-04-29,81.81,81.81,81.81,81.81,,82.5373,81.81
1970-04-30,81.52,81.52,81.52,81.52,,82.5171,81.52
1970-05-01,81.44,81.44,81.44,81.44,,82.4361,81.44
1970-05-04,79.0,79.0,79.0,79.0,,79.9663,79.0
1970-05-05,78.6,78.6,78.6,78.6,,79.5614,78.6
1970-05-06,79.47,79.47,79.47,79.47,,80.4421,79.47
1970-05-07,79.83,79.83,79.83,79.83,,80.8065,79.83
1970-05-08,79.44,79.44,79.44,79.44,,80.4117,79.44
1970-05-11,78.6,78.6,78.6,78.6,,79.5614,78.6
1970-05-12,77.85,77.85,77.85,77.85,,78.8022,77.85
1970-05-13,76.53,76.53,76.53,76.53,,77.4661,76.53
1970-05-14,75.44,75.44,75.44,75.44,,76.3628,75.44
1970-05-15,76.9,76.9,76.9,76.9,,77.8406,76.9
1970-05-18,76.96,76.96,76.96,76.96,,77.9013,76.96
1970-05-19,75.46,75.46,75.46,75.46,,76.383,75.46
1970-05-20,73.52,73.52,73.52,73.52,,74.4193,73.52
1970-05-21,72.16,72.16,72.16,72.16,,73.0426,72.16
1970-05-22,72.25,72.25,72.25,72.25,,73.1337,72.25
1970-05-25,70.25,70.25,70.25,70.25,,71.1093,70.25
1970-05-26,69.29,69.29,69.29,69.29,,70.1375,69.29
1970-05-27,72.77,72.77,72.77,72.77,,73.6601,72.77
1970-05-28,74.61,74.61,74.61,74.61,,75.5226,74.61
1970-05-29,76.55,76.55,76.55,76.55,,77.7495,76.55
1970-06-01,77.84,77.84,77.84,77.84,,79.0597,77.84
1970-06-02,77.84,77.84,77.84,77.84,,79.0597,77.84
1970-06-03,78.52,78.52,78.52,78.52,,79.7504,78.52
1970-06-04,77.36,77.36,77.36,77.36,,78.5722,77.36
1970-06-05,76.17,76.17,76.17,76.17,,77.3636,76.17
1970-06-08,76.0,76.0,76.0,76.0,,77.1909,76.0
1970-06-09,76.25,76.25,76.25,76.25,,77.4448,76.25
1970-06-10,75.48,75.48,75.48,75.48,,76.6627,75.48
1970-06-11,74.45,74.45,74.45,74.45,,75.6166,74.45
